doe2code,U-value,Eff-R-value
kwwf00,0.552,1.8
kwwf03,0.199,5.0
kwwf07,0.125,8.0
kwwf11,0.099,10.1
kwwf15,0.086,11.6
kwwf19,0.078,12.8
kwwf21,0.075,13.3
