frame,glazing,storm_type,storm_location,U-Factor,Eff-R-value,SHGC,VT
wood_double_hung,single,None,None,0.88,1.1,0.61,0.66
wood_double_hung,single,Clear,Exterior,0.47,2.1,0.54,0.57
wood_double_hung,single,Clear,Interior,0.46,2.2,0.54,0.59
wood_double_hung,single,Low-E,Exterior,0.36,2.8,0.46,0.52
wood_double_hung,single,Low-E,Interior,0.34,2.9,0.5,0.54
wood_double_hung,double,None,None,0.51,2.0,0.57,0.61
wood_double_hung,double,Clear,Exterior,0.34,2.9,0.49,0.53
wood_double_hung,double,Clear,Interior,0.32,3.1,0.51,0.55
wood_double_hung,double,Low-E,Exterior,0.28,3.6,0.42,0.48
wood_double_hung,double,Low-E,Interior,0.26,3.8,0.47,0.5
wood_fixed,single,None,None,0.87,1.1,0.64,0.69
wood_fixed,single,Clear,Exterior,0.46,2.2,0.58,0.62
wood_fixed,single,Clear,Interior,0.45,2.2,0.56,0.62
wood_fixed,single,Low-E,Exterior,0.34,2.9,0.5,0.56
wood_fixed,single,Low-E,Interior,0.34,2.9,0.52,0.57
wood_fixed,double,None,None,0.47,2.1,0.6,0.64
wood_fixed,double,Clear,Exterior,0.32,3.1,0.53,0.57
wood_fixed,double,Clear,Interior,0.32,3.1,0.54,0.58
wood_fixed,double,Low-E,Exterior,0.27,3.7,0.46,0.52
wood_fixed,double,Low-E,Interior,0.25,4.0,0.5,0.53
aluminum_double_hung,single,None,None,1.12,0.9,0.61,0.65
aluminum_double_hung,single,Clear,Exterior,0.67,1.5,0.56,0.58
aluminum_double_hung_with_thermal_break,single,Clear,Exterior,0.58,1.7,0.56,0.59
aluminum_double_hung,single,Clear,Interior,0.53,1.9,0.53,0.59
aluminum_double_hung,single,Low-E,Exterior,0.57,1.8,0.47,0.53
aluminum_double_hung_with_thermal_break,single,Low-E,Exterior,0.44,2.3,0.48,0.54
aluminum_double_hung,single,Low-E,Interior,0.41,2.4,0.5,0.54
aluminum_double_hung,double,None,None,0.75,1.3,0.58,0.6
aluminum_double_hung,double,Clear,Exterior,0.55,1.8,0.51,0.54
aluminum_double_hung_with_thermal_break,double,Clear,Exterior,0.45,2.2,0.52,0.55
aluminum_double_hung,double,Clear,Interior,0.41,2.4,0.51,0.55
aluminum_double_hung,double,Low-E,Exterior,0.49,2.0,0.44,0.49
aluminum_double_hung_with_thermal_break,double,Low-E,Exterior,0.36,2.8,0.44,0.5
aluminum_double_hung,double,Low-E,Interior,0.32,3.1,0.47,0.5
aluminum_fixed,single,None,None,1.06,0.9,0.72,0.77
aluminum_fixed,single,Clear,Exterior,0.62,1.6,0.59,0.62
aluminum_fixed_with_thermal_break,single,Clear,Exterior,0.55,1.8,0.61,0.65
aluminum_fixed,single,Clear,Interior,0.51,2.0,0.6,0.66
aluminum_fixed,single,Low-E,Exterior,0.51,2.0,0.5,0.57
aluminum_fixed_with_thermal_break,single,Low-E,Exterior,0.42,2.4,0.52,0.59
aluminum_fixed,single,Low-E,Interior,0.38,2.6,0.56,0.6
aluminum_fixed,double,None,None,0.62,1.6,0.67,0.71
aluminum_fixed,double,Clear,Exterior,0.47,2.1,0.54,0.58
aluminum_fixed_with_thermal_break,double,Clear,Exterior,0.4,2.5,0.56,0.6
aluminum_fixed,double,Clear,Interior,0.36,2.8,0.57,0.61
aluminum_fixed,double,Low-E,Exterior,0.42,2.4,0.47,0.52
aluminum_fixed_with_thermal_break,double,Low-E,Exterior,0.33,3.0,0.48,0.55
aluminum_fixed,double,Low-E,Interior,0.29,3.4,0.53,0.56
