doe2code,U-value,Eff-R-value
efwf00ca,0.169,5.9
efwf11ca,0.064,15.6
efwf13ca,0.058,17.2
efwf15ca,0.054,18.5
efwf19ca,0.045,22.2
efwf21ca,0.042,23.8
efwf25ca,0.037,27
efwf30ca,0.032,31.3
efwf38ca,0.027,37
