occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0.258
1,0.0789,0.0789,0.25,0,0,0,0.34,0.608,0.608,0,0,0.19
1,0.247,0.247,0,0,0,0,0.487,0.68,0.68,0,0,0.185
0.667,0.177,0.177,0,0,0,0,0.391,0.64,0.64,0,0,0
0.667,0.345,0.345,0,0,0,0,0.403,0.732,0.732,0,0,0
0.667,0.371,0.371,0,0,0,0,0.3,0.732,0.732,0,0,0.139
0.667,0.362,0.362,0,0,0,0,0.31,0.732,0.732,0,0,0.324
0.667,0.35,0.35,0,0,0,0,0.319,0.732,0.732,0,0,0.185
0.667,0.342,0.342,0,0,0,0,0.31,0.732,0.732,0,0,0
0.667,0.339,0.339,0,0,0,0,0.347,0.732,0.732,0,0,0.741
0.667,0.343,0.343,0,0,0,0,0.375,0.732,0.732,0,0,0
0.333,0.206,0.206,0,0,0,0,0.321,0.66,0.66,0,0,0.139
0,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0.231
0,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0.0463
0.333,0.351,0.351,0.25,0,0,0,0.465,0.705,0.705,0,0,0.185
0.667,0.665,0.665,0,0,0,0,0.711,0.836,0.836,0,0,0.139
0.667,0.565,0.565,0,0,0,0,0.748,0.81,0.81,0,0,0
1,0.646,0.646,0,0,0,0,0.965,0.857,0.857,0,0,0.121
1,0.395,0.395,0,0,0,0,0.636,0.706,0.706,0,0,0
1,0.103,0.103,0,0,0,0,0.405,0.614,0.614,0,0,0.0463
1,0.0661,0.0661,0,0,0,0,0.358,0.608,0.608,0,0,0
1,0.0514,0.0514,0,0,0,0,0.344,0.608,0.608,0,0,0
1,0.044,0.044,0,0,0,0,0.344,0.608,0.608,0,0,0.231
1,0.044,0.044,0,0,0,0,0.34,0.608,0.608,0,0,0.718
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0.441
1,0.114,0.114,0,0,0,0,0.422,0.654,0.654,0,0,0.299
0.667,0.146,0.146,0,0,0,0,0.372,0.621,0.621,0,0,0.0926
0.667,0.177,0.177,0,0,0,0,0.391,0.64,0.64,0,0,0
0.333,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0
0.333,0.208,0.208,0,0,0,0,0.279,0.647,0.647,0,0,0.231
0.333,0.203,0.203,0,0,0,0,0.284,0.647,0.647,0,0,0.0463
0.333,0.197,0.197,0,0,0,0,0.288,0.647,0.647,0,0,0
0,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0
0,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0.0926
0,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0.509
0.333,0.206,0.206,0.25,0,0,0,0.321,0.66,0.66,0,0,0.139
0.333,0.239,0.239,0,0,0,0,0.354,0.679,0.679,0,0,0
0.333,0.297,0.297,0,0,0,0,0.419,0.699,0.699,0,0,0
0.667,0.658,0.658,0,0,0,0,0.673,0.849,0.849,0.42,0,0
1,0.975,0.975,0,0.667,0,0,0.937,0.973,0.973,0.37,0,0.278
1,0.826,0.826,0.25,0,0.0638,0,0.993,0.934,0.934,0,0,0.183
1,0.445,0.445,0,0,0.234,0.317,0.729,0.758,0.758,0,0.397,0.139
1,0.044,0.044,0,0,0,0.5,0.258,0.562,0.562,0,0.0467,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0.278
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0.146
0.667,0.044,0.044,0,0,0.0638,0,0.258,0.562,0.562,0,0,0.121
0.667,0.177,0.177,0,0,0.553,0.0667,0.391,0.64,0.64,0,0.168,0
0.667,0.345,0.345,0,0,0,1,0.403,0.732,0.732,0,0.197,0
0.333,0.208,0.208,0,0,0,0.0167,0.279,0.647,0.647,0,0,0.232
0.333,0.203,0.203,0,0,0,0,0.284,0.647,0.647,0,0,0
0.333,0.197,0.197,0,0,0,0,0.288,0.647,0.647,0,0,0.185
0.333,0.193,0.193,0,0,0,0,0.284,0.647,0.647,0,0,0.0463
0.333,0.191,0.191,0,0,0,0,0.302,0.647,0.647,0,0,0
0.333,0.194,0.194,0,0,0,0,0.316,0.647,0.647,0,0,0.0926
0,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0.407
0.333,0.239,0.239,0,0,0,0,0.354,0.679,0.679,0,0,0
0.333,0.297,0.297,0,0,0,0,0.419,0.699,0.699,0,0,0
0.667,0.658,0.658,0,0,0.298,0,0.673,0.849,0.849,0,0,0.231
0.667,0.665,0.665,0,0,0,0.817,0.711,0.836,0.836,0.447,0.504,0
0.667,0.565,0.565,0,0.667,0,0,0.748,0.81,0.81,0.571,0,0
0.667,0.245,0.245,0,0,0,0,0.493,0.66,0.66,0,0,0.139
1,0.22,0.22,0,0,0,0,0.447,0.634,0.634,0,0,0.509
1,0.103,0.103,0,0,0,0,0.405,0.614,0.614,0,0,0
1,0.0661,0.0661,0,0,0,0,0.358,0.608,0.608,0,0,0.0463
1,0.0514,0.0514,0,0,0,0,0.344,0.608,0.608,0,0,0
1,0.044,0.044,0,0,0,0,0.344,0.608,0.608,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0.176
1,0.0789,0.0789,0,0,0,0,0.34,0.608,0.608,0,0,0.127
