occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,cooking_range,hot_water_fixtures
1,0.565,0.0163,0.0501,0,0,0,0,0,0
1,0.565,0.0163,0.0501,0,0,0,0,0,0
1,0.565,0.0163,0.0501,0,0,0,0,0,0
1,0.565,0.0163,0.0501,0,0,0,0,0,0
1,0.591,0.0222,0.0695,0,0,0,0,0.567,0
0.978,0.653,0.0436,0.182,0,0,0,0,0.717,0.519
0.667,0.707,0.0675,0.292,0,0,0,0,0,0.197
0.478,0.682,0.0635,0.249,0,0,0,0,0,0.0394
0.333,0.651,0.0585,0.197,0,0,0,0,0,0
0.333,0.651,0.0654,0.196,0,0,0,0,0,0.0394
0.333,0.651,0.0716,0.191,0,0,0,0,0,0.197
0.333,0.651,0.0762,0.186,0,0,0,0,0,0.236
0.144,0.602,0.0429,0.108,0.588,0.267,0,0,0,0.0788
0,0.565,0.0163,0.0501,0,0,0,0,0,0
0.211,0.628,0.0697,0.144,0,0,0,0,0,0.197
0.772,0.822,0.244,0.449,0,0,0,0,0.317,0.0394
1,0.954,0.379,0.722,0,0,0,0,0.967,0.158
1,0.99,0.493,0.912,0.103,0.0667,0,0,0,0.276
1,0.988,0.681,0.998,0.44,0.467,0,0,0,0.0788
1,0.957,0.88,0.907,0.487,0.533,0,0,0,0.0394
1,0.889,0.911,0.704,0.475,0,0,0,0,0.0788
1,0.728,0.464,0.393,0.482,0,0,0,0,0.197
1,0.623,0.13,0.155,0,0,0,0,0,0.303
1,0.565,0.0163,0.0501,0,0,0,0,0,0
1,0.568,0.017,0.0507,0,0,0,0,0,0
1,0.612,0.0222,0.0537,0,0,0,0,0,0.0394
1,0.597,0.0175,0.0501,0,0,0,0,0,0.158
1,0.58,0.0176,0.0507,0,0,0,0,0,0.15
1,0.612,0.024,0.0703,0,0,0,0,0,0.234
0.978,0.649,0.0422,0.175,0,0,0,0,0,0.695
0.478,0.591,0.025,0.0947,0,0,0,0,0,0
0.333,0.614,0.0376,0.132,0,0,0,0,0,0.134
0.311,0.645,0.0554,0.187,0.461,0.533,0,0,0,0.0394
0,0.565,0.0163,0.0501,0.14,0,0,0,0,0
0,0.565,0.0163,0.0501,0,0,0,0,0,0
0,0.565,0.0163,0.0501,0,0,0,0,0,0
0.272,0.635,0.0715,0.158,0,0,0,0,0.25,0.158
0.333,0.651,0.0891,0.184,0,0,0,0,0,0.236
0.333,0.658,0.0965,0.193,0,0,0,0,0,0.0788
0.356,0.683,0.12,0.233,0,0,0,0,0,0.118
0.939,0.932,0.359,0.688,0,0,0,0,0,0.407
1,0.99,0.493,0.912,0,0,0,0,0.25,0.0203
1,0.988,0.681,0.998,0,0,0,0,0,0.236
1,0.957,0.88,0.907,0,0,0,0,0,0
1,0.746,0.495,0.42,0,0,0,0,0,0
1,0.565,0.0163,0.0501,0,0,0,0,0,0
1,0.565,0.0163,0.0501,0,0,0,0,0,0
1,0.565,0.0163,0.0501,0,0,0,0,0,0
1,0.565,0.0163,0.0501,0,0,0,0,0,0
1,0.565,0.0163,0.0501,0,0,0,0,0,0
1,0.565,0.0163,0.0501,0,0,0,0,0,0
1,0.591,0.0187,0.0512,0,0,0,0,0,0.153
1,0.615,0.0247,0.0726,0,0,0,0,0,0.408
1,0.673,0.0481,0.196,0,0,0,0,0,0.691
1,0.752,0.0844,0.368,0,0,0,0,0.317,0.25
1,0.814,0.119,0.47,0,0,0,0,0.183,0.177
1,0.822,0.143,0.49,0,0,0,0,0,0.199
0.539,0.704,0.0936,0.288,0,0,0,0,0,0.198
0.333,0.651,0.0716,0.191,0,0,0,0,0,0.271
0.333,0.651,0.0762,0.186,0,0,0,0,0,0.214
0.333,0.651,0.0828,0.183,0,0,0,0,0,0.581
0.333,0.651,0.0891,0.184,0,0,0,0,0,0.556
0.333,0.658,0.0965,0.193,0,0,0,0,0,0.0788
0.878,0.859,0.276,0.506,0,0,0,0,0.817,0.354
1,0.954,0.379,0.722,0,0,0,0,0.217,0.118
0.811,0.908,0.391,0.734,0,0,0,0,0,0
0.939,0.961,0.648,0.94,0,0,0,0,0.567,0.192
1,0.922,0.817,0.827,0,0,0,0,0.2,0.0788
1,0.896,0.931,0.717,0,0,0,0,0,0.277
1,0.751,0.53,0.439,0,0,0,0,0,0.0809
1,0.685,0.249,0.264,0,0,0,0,0,0.159
1,0.588,0.0483,0.0793,0,0,0,0,0,0.118
1,0.565,0.0163,0.0501,0,0,0,0,0,0
1,0.565,0.0163,0.0501,0,0,0,0,0,0
1,0.565,0.0163,0.0501,0,0,0,0,0,0
1,0.591,0.0187,0.0512,0,0,0,0,0.25,0.476
1,0.585,0.0181,0.0509,0,0,0,0,0,0
1,0.569,0.0176,0.057,0,0,0,0,0,0.0758
0.978,0.656,0.0493,0.205,0,0,0,0,0,0.329
