occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,cooking_range,hot_water_fixtures
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
0.706,0.573,0.017,0.0505,0,0,0,0,0,0
0.667,0.562,0.0159,0.05,0,0,0,0,0,0
0.667,0.562,0.0159,0.05,0,0,0,0,0,0
0.5,0.592,0.0271,0.102,0,0,0,0,0,0.202
0.961,0.797,0.117,0.447,0,0,0,0,0,0.283
0.872,0.785,0.13,0.437,0,0,0,0,0,0.12
0.667,0.733,0.116,0.339,0,0,0,0,0,0.0435
0.667,0.733,0.128,0.327,0,0,0,0,0,0.0435
0.667,0.733,0.136,0.318,0.719,0.8,0,0,0,0.174
0.667,0.733,0.152,0.314,0.556,0,0,0,0,0.304
0.667,0.733,0.161,0.318,0.661,0,0,0,0,0
0.667,0.755,0.179,0.343,0,0,0,0,0,0.174
0.667,0.793,0.219,0.413,0,0,0,0,0,0.479
0.667,0.832,0.269,0.539,0,0,0,0,0,0.3
0.622,0.829,0.333,0.62,0,0,0,0,0,0.2
0.794,0.89,0.599,0.805,0,0,0,0,0,0.0435
0.667,0.813,0.618,0.584,0.252,0.383,0,0,0,0.0435
0.667,0.765,0.602,0.451,0.354,1,0,0,0.883,0
0.961,0.749,0.478,0.467,0,0.233,0,0,1,0.0987
1,0.612,0.102,0.131,0,0,0,0,0.183,0.136
1,0.609,0.0479,0.08,0,0,0,0,0,0
1,0.59,0.0241,0.0571,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.667,0.0507,0.232,0,0,0,0,0,0.351
0.956,0.704,0.0682,0.294,0,0,0,0,0.883,0.335
0.667,0.646,0.052,0.193,0,0,0,0,0.4,0.087
0.667,0.68,0.0769,0.255,0,0,0,0,0,0.881
0.667,0.733,0.116,0.339,0,0,0,0,0,0.438
0.456,0.678,0.0921,0.24,0,0,0,0,0,0.546
0.544,0.701,0.114,0.268,0.519,0.533,0,0,0,0.0435
0.667,0.733,0.152,0.314,0.622,0,0,0,0,0.0435
0.667,0.733,0.161,0.318,0.575,0,0,0,0,0.348
0.667,0.755,0.179,0.343,0,0,0,0,0,0
0.372,0.689,0.127,0.249,0,0,0,0,0,0.087
0.544,0.784,0.224,0.454,0,0,0,0,0.133,0.13
0.372,0.721,0.201,0.385,0,0,0,0,1,0.13
0.333,0.7,0.256,0.367,0,0,0,0,0.15,0.0435
0.628,0.797,0.589,0.547,0,0,0,0,0,0
0.667,0.751,0.564,0.425,0,0,0,0,0,0
0.667,0.637,0.204,0.217,0,0,0,0,0,0.125
0.75,0.61,0.0905,0.12,0,0,0,0,0,0.0656
0.667,0.562,0.0159,0.05,0,0,0,0,0,0
0.667,0.58,0.0198,0.0532,0,0,0,0,0,0.0435
0.667,0.608,0.0193,0.051,0,0,0,0,0,0.0435
0.667,0.59,0.0166,0.05,0,0,0,0,0,0.348
0.961,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.631,0.0417,0.169,0.638,0.533,0,0,0,0.391
0.789,0.625,0.0427,0.157,0.334,0,0,0,0,0.0435
0.456,0.668,0.0709,0.235,0,0,0,0,0,0.087
0.122,0.593,0.0338,0.103,0,0,0,0,0,0
0,0.562,0.0159,0.05,0,0,0,0,0,0
0.294,0.637,0.0691,0.168,0,0,0,0,0,0.217
0.333,0.647,0.0838,0.182,0,0,0,0,0,0.217
0.333,0.647,0.0886,0.184,0,0,0,0,0,0.13
0.461,0.659,0.0975,0.197,0,0,0,0,0,0.087
0.622,0.766,0.196,0.371,0,0,0,0,0,0.0435
0.417,0.731,0.175,0.357,0,0,0,0,0.25,0
0.544,0.796,0.298,0.554,0,0,0,0,0.517,0
0.417,0.735,0.309,0.445,0,0,0,0,0,0
0.456,0.735,0.423,0.419,0,0,0,0,0,0.0435
0.589,0.652,0.275,0.228,0,0,0,0,0,0.163
1,0.667,0.281,0.281,0,0,0,0,0,0.395
0.917,0.604,0.082,0.112,0,0,0,0,0,0.0435
1,0.568,0.0244,0.0579,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.585,0.0235,0.0894,0,0,0,0,0,0.13
1,0.669,0.0552,0.232,0,0,0,0,0,0.606
1,0.731,0.088,0.336,0,0,0,0,0,0.349
0.956,0.721,0.0976,0.326,0,0,0,0,0,0.196
0.667,0.647,0.066,0.195,0,0,0,0,0,0
0.667,0.647,0.072,0.188,0,0,0,0,0,0.13
0.372,0.572,0.0226,0.0661,0,0,0,0,0,0
0.628,0.637,0.0768,0.167,0,0,0,0,0,0
0.667,0.647,0.0886,0.184,0,0,0,0,0,0.087
0.667,0.659,0.0975,0.197,0,0,0,0,0.517,0.478
0.583,0.752,0.184,0.349,0,0,0,0,0,0.478
0.667,0.832,0.269,0.539,0,0,0,0,0,0.13
0.667,0.848,0.357,0.662,0,0,0,0,0,0.459
0.667,0.838,0.496,0.683,0,0,0,0,0,0.0435
0.961,0.923,0.889,0.814,0.493,0.633,0,0,0,0.126
1,0.766,0.6,0.455,0.478,0.167,0,0,0,0
1,0.637,0.204,0.217,0,0,0,0,0,0
1,0.617,0.1,0.129,0,0,0,0,0,0
1,0.609,0.0479,0.08,0,0,0,0,0,0.0435
1,0.608,0.0281,0.0603,0,0,0,0,0,0
1,0.567,0.0171,0.051,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.562,0.0159,0.05,0,0,0,0,0,0
1,0.585,0.0235,0.0894,0,0,0,0,0,0.0435
1,0.638,0.044,0.181,0,0,0,0,0,0.13
0.872,0.764,0.103,0.392,0,0,0,0,0,0.261
0.667,0.733,0.104,0.346,0,0,0,0,0,0.087
0.667,0.733,0.116,0.339,0,0,0,0,0.25,0.174
0.667,0.733,0.128,0.327,0,0,0,0,0,0.0435
0.667,0.733,0.136,0.318,0,0,0,0,0,0
0.667,0.733,0.152,0.314,0,0,0,0,0,0.13
0.667,0.733,0.161,0.318,0,0,0,0,0,0.174
0.667,0.755,0.179,0.343,0,0,0,0,0,0.174
0.667,0.793,0.219,0.413,0,0,0,0,0,0.672
0.667,0.832,0.269,0.539,0,0,0,0,0,0.223
0.667,0.848,0.357,0.662,0,0,0,0,0,0.276
0.667,0.838,0.496,0.683,0,0,0,0,0,0.102
0.794,0.861,0.736,0.684,0,0,0,0,0,0.127
1,0.853,0.857,0.625,0,0,0,0,0,0.211
1,0.685,0.325,0.322,0,0,0,0,0,0
1,0.583,0.0543,0.086,0,0,0,0,0,0.174
1,0.562,0.0182,0.05,0,0,0,0,0,0
1,0.562,0.0182,0.05,0,0,0,0,0,0
1,0.562,0.0182,0.05,0,0,0,0,0,0
1,0.562,0.0182,0.05,0,0,0,0,0,0
1,0.562,0.0182,0.05,0,0,0,0,0,0
1,0.562,0.0182,0.05,0,0,0,0,0,0
1,0.595,0.0271,0.108,0,0,0,0,0,0.0435
1,0.685,0.0687,0.259,0,0,0.425,0.483,0.25,0.087
0.983,0.733,0.131,0.338,0,0,0.446,0,0,0.087
0.667,0.733,0.17,0.346,0,0,0,0,0,0
0.483,0.686,0.15,0.258,0,0,0,0,0,0.13
0.333,0.647,0.119,0.188,0,0,0,0,0,0.087
0.333,0.647,0.127,0.183,0,0,0,0,0,0
0.333,0.647,0.148,0.182,0,0,0,0,0.55,0
0.333,0.648,0.166,0.185,0,0,0,0,0.217,0.261
0.35,0.667,0.19,0.21,0,0,0,0,0,0.478
0.85,0.865,0.457,0.534,0,0,0,0,0,0.478
1,0.975,0.556,0.816,0,0,0,0,0,0.391
0.817,0.913,0.541,0.817,0,0,0,0,0,0.174
0.933,0.944,0.806,0.93,0,0,0,0,0,0.087
0.917,0.895,0.903,0.746,0,0,0,0,0,0.144
1,0.801,0.754,0.52,0,0,0,0,0,0.274
1,0.633,0.202,0.209,0,0,0,0,0,0.274
1,0.593,0.0656,0.0893,0,0,0,0,0,0
1,0.608,0.0491,0.0742,0,0,0,0,0,0
1,0.608,0.0307,0.058,0,0,0,0,0,0.087
1,0.608,0.0223,0.05,0,0,0,0,0,0
0.833,0.583,0.0186,0.05,0,0,0,0,0,0
1,0.562,0.0182,0.05,0,0,0,0,0,0
1,0.565,0.0189,0.0552,0,0,0,0,0,0.0435
0.983,0.622,0.0337,0.154,0,0,0,0,0.25,0.261
0.933,0.704,0.0764,0.293,0,0,0,0,0,0.391
1,0.737,0.134,0.346,0,0,0,0,0,0.0923
0.817,0.771,0.204,0.413,0,0,0,0,0,0.341
0.667,0.733,0.2,0.337,0.409,0.533,0,0,0,0.156
0.667,0.733,0.219,0.325,0.14,0,0,0,0,0.163
0.65,0.728,0.229,0.31,0,0,0,0,0,0.442
0.333,0.647,0.148,0.182,0,0,0,0,0,0.0897
0.333,0.648,0.166,0.185,0,0,0,0,0,0.732
0.333,0.661,0.182,0.2,0,0,0,0,0,0.174
0.517,0.746,0.285,0.345,0.105,0.05,0.0406,0.3,0,0.087
0.683,0.844,0.387,0.576,0.537,0.483,0.253,0.183,0.05,0
1,0.992,0.66,0.99,0.748,0,0,0,0.2,0.087
1,0.863,0.636,0.742,0.141,0,0,0,0,0
1,0.808,0.673,0.564,0,0,0,0,0,0.188
1,0.756,0.612,0.432,0,0,0,0,0,0.193
