occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,hot_water_showers
0.8,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0
1,0.0545,0.0545,0,0,0,0,0.337,0.589,0.022,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0
1,0.0495,0.0495,0.183,0,0,0,0.421,0.562,0.0159,0,0,0,0
1,0.0698,0.0698,0.0667,0,0,0,0.337,0.589,0.022,0,0,0.0116,0.017
1,0.172,0.172,0,0.267,0,0,0.253,0.633,0.0394,0.476,0,0.0582,0.0849
0.8,0.289,0.289,0,0,0,0,0.168,0.704,0.0682,0.373,0,0,0
0.6,0.22,0.22,0.183,0,0,0,0.253,0.664,0.06,0,0,0.0361,0
0.6,0.226,0.226,0.0667,0,0,0,0.253,0.664,0.0693,0,0,0.289,0
0.6,0.22,0.22,0,0,0,0,0.253,0.664,0.0765,0,0,0.0722,0
0.6,0.295,0.295,0,0.8,0,0,0.168,0.715,0.118,0.539,0,0.144,0
0.4,0.208,0.208,0,0,0,0,0.253,0.664,0.0879,0.431,0.101,0.144,0
0.2,0.128,0.128,0,0,1,0,0.337,0.613,0.057,0,0.412,0.108,0
0.2,0.129,0.129,0,0,0.2,0.831,0.337,0.613,0.0596,0,0.684,0.289,0
0.4,0.226,0.226,0,0,0,0,0.253,0.68,0.115,0,0.326,0.0722,0
0.6,0.381,0.381,0.933,0,0,0,0.168,0.774,0.203,0,0,0.0722,0
0.8,0.648,0.648,0.35,0,0,0,0.0842,0.891,0.325,0,0,0.108,0
0.8,0.793,0.793,0,0.267,0,0,0.0842,0.907,0.436,0.604,0,0.108,0
0.6,0.614,0.614,0,0.267,0,0,0.168,0.809,0.461,0.297,0,0.144,0
0.6,0.513,0.513,0,0,0,0,0.168,0.785,0.568,0.515,0,0.394,0
0.8,0.506,0.506,0,0,0,0,0.0842,0.798,0.712,0,0,0.412,0.285
1,0.342,0.342,0,0,0,0,0.168,0.692,0.328,0,0,0.281,0.357
1,0.0894,0.0894,0,0,0,0,0.337,0.593,0.0591,0,0,0.446,0.282
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.0361,0
1,0.0495,0.0495,0,0,0,0,0.337,0.589,0.0173,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.337,0.589,0.0163,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.234,0.288
1,0.0698,0.0698,0,0,0,0,0.337,0.589,0.022,0,0,0.235,0.343
1,0.172,0.172,0,0,0,0,0.253,0.633,0.0394,0,0,0.0884,0.129
0.6,0.129,0.129,0,0,0,0,0.337,0.609,0.0333,0,0,0.0911,0.133
0.6,0.306,0.306,0,0.483,0,0,0.168,0.715,0.0821,0.482,0,0.475,0.325
0.6,0.314,0.314,0,0.317,0,0,0.168,0.715,0.096,0.264,0,0.15,0.166
0.2,0.135,0.135,0,0,0,0,0.337,0.613,0.0462,0,0,0.18,0
0,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0
0.2,0.129,0.129,0.25,0.267,0,0,0.337,0.613,0.0519,0.688,0,0,0
0.4,0.206,0.206,0,0,0,0,0.253,0.664,0.0982,0.0838,0,0.18,0
0.4,0.209,0.209,0,0,0,0,0.253,0.664,0.103,0,0,0,0
0.4,0.226,0.226,0,0,0,0,0.253,0.68,0.115,0,0,0.108,0
0.4,0.27,0.27,0,0,0,0,0.253,0.703,0.14,0,0,0.243,0.197
0.8,0.648,0.648,0.433,0,0,0,0.0842,0.891,0.325,0,0,0.0722,0
0.8,0.793,0.793,0.85,0,0,0,0.0842,0.907,0.436,0,0,0.18,0
0.8,0.803,0.803,0,0,0,0,0.0842,0.891,0.609,0,0,0.289,0
0.8,0.513,0.513,0,0,0,0,0.168,0.785,0.568,0,0,0.253,0
