occupants,lighting_interior,lighting_exterior,cooking_range,refrigerator,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,plug_loads_tv,plug_loads_other,hot_water_fixtures,lighting_garage,lighting_exterior_holiday,ceiling_fan,outage,heating_season,cooling_season,natural_ventilation,water_heater_setpoint
1,0.0743,0.559,0,0.611,0,0,0,0,0,0.113,0.529,0.38,0.559,0,0.358,0,1,1,0,125
1,0.0578,0.517,0,0.596,0,0,0,0,0,0.0567,0.516,0,0.517,0,0.344,0,1,1,0,125
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0309,0.51,0,0.517,0,0.344,0,1,1,0,125
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.0206,0.504,0,0.503,0,0.34,0,1,1,0,125
1,0.0495,0.461,0,0.55,0,0,0,0,0,0.0284,0.465,0,0.461,0,0.258,0,1,1,0,125
1,0.0495,0.503,0,0.55,0,0,0,0,0,0.0361,0.465,0.123,0.503,0,0.258,0,1,1,0,125
1,0.0495,0.601,0,0.58,0,0,0,0,0,0.0619,0.465,0.142,0.601,0,0.258,0,1,1,0,125
1,0.183,0.657,0.867,0.611,0,0,0,0,0,0.111,0.572,0.0475,0.657,0,0.391,0,1,1,0,125
1,0.335,0.475,0.167,0.626,0,0,0,0,0,0.183,0.692,0.065,0.475,0,0.403,0,1,1,0,125
1,0.491,0.322,0.25,0.626,0,0,0,0,0,0.242,0.806,0.43,0.322,0,0.322,0,1,1,0,125
1,0.477,0.336,0.517,0.611,0,0,0,0,0,0.289,0.806,0.0475,0.336,0,0.336,0,1,1,0,125
0.667,0.322,0.35,0,0.611,0,0,0,0,0,0.317,0.705,0,0.35,0,0.319,0,1,1,0,125
1,0.445,0.336,0,0.641,0,0,0,0,0,0.34,0.843,0.197,0.336,0,0.336,0,1,1,0,125
0.667,0.311,0.392,0,0.641,0,0,0,0,0,0.402,0.717,0.0475,0.392,0,0.347,0,1,1,0,125
0.667,0.315,0.433,0,0.641,0,0,0,0,0,0.459,0.705,0.0949,0.433,0,0.375,0,1,1,0,125
0.667,0.342,0.447,0.117,0.626,0,0,0,0,0,0.505,0.73,0.221,0.447,0,0.384,0,1,1,0,125
0.667,0.415,0.545,0.133,0.672,0,0,0,0,0,0.531,0.755,0.164,0.545,0.0288,0.449,0,1,1,0,125
0.667,0.545,0.741,0,0.733,0,0,0,0,0,0.549,0.805,0.265,0.741,0.346,0.58,0,1,1,0,125
1,0.977,0.881,0,0.764,0,0,0,0,0,0.647,0.993,0.399,0.881,0.593,0.881,0,1,1,0,125
1,0.994,0.937,0,0.733,0,0,0,0,0,0.851,0.937,0.19,0.937,0.683,0.937,0,1,1,0,125
0.667,0.569,0.993,0,0.718,0,0,0,0,0,1,0.742,0.0949,0.993,1,0.748,0,1,1,0,125
1,0.625,0.965,0,0.703,0,0,0,0,0,0.923,0.843,0.25,0.965,0.679,0.965,0,1,1,0,125
1,0.54,0.825,0,0.672,0,0,0,0,0,0.582,0.749,0.602,0.825,0.132,0.825,0,1,1,0,125
1,0.183,0.699,0,0.626,0,0.1,0,0,0,0.265,0.605,0,0.699,0.0658,0.552,0,1,1,0,125
1,0.0743,0.559,0,0.611,0,0,0,0,0,0.0954,0.529,0,0.559,0,0.358,0,1,1,1,125
1,0.0495,0.517,0.2,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258,0,1,1,1,125
1,0.0495,0.517,0.05,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258,0,1,1,1,125
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0.126,0.503,0,0.258,0,1,1,1,125
1,0.0514,0.461,0,0.55,0,0,0,0,0,0.0284,0.51,0.333,0.461,0,0.326,0,1,1,1,125
1,0.117,0.503,0.25,0.55,0,0,0,0,0,0.0464,0.567,0,0.503,0,0.422,0,1,1,1,125
1,0.253,0.601,0,0.58,0,0,0,0,0,0.0747,0.617,0.49,0.601,0,0.487,0,1,1,1,125
1,0.449,0.657,0,0.611,0,0,0,0,0,0.103,0.787,0.274,0.657,0,0.657,0,1,1,1,125
0.667,0.335,0.475,0,0.626,0,0,0,0,0,0.126,0.692,0.146,0.475,0,0.403,0,1,1,1,125
0.667,0.344,0.322,0,0.626,0,0,0,0,0,0.149,0.692,0.31,0.322,0,0.3,0,1,1,1,125
0.333,0.192,0.336,0,0.611,0,0,0,0,0,0.168,0.579,0.332,0.336,0,0.284,0,1,1,1,125
0.333,0.186,0.35,0,0.611,0,0,0,0,0,0.186,0.585,0.265,0.35,0,0.288,0,1,1,1,125
0.333,0.181,0.336,0,0.641,0,0,0,0,0,0.196,0.591,0.236,0.336,0,0.284,0,1,1,1,125
0.333,0.18,0.392,0,0.641,0,0,0,0,0,0.222,0.591,0.0882,0.392,0,0.302,0,1,1,1,125
0.333,0.182,0.433,0,0.641,0,0,0,0,0,0.235,0.585,0.258,0.433,0,0.316,0,1,1,1,125
0.333,0.196,0.447,0,0.626,0,0,0,0,0,0.263,0.597,0.292,0.447,0,0.321,0,1,1,1,125
0.667,0.415,0.545,0,0.672,0,0,0,0,0,0.327,0.755,0.563,0.545,0.0288,0.449,0,1,1,1,125
0.667,0.545,0.741,0,0.733,0,0,0,0,0,0.402,0.805,0.199,0.741,0.346,0.58,0,1,1,1,125
0.667,0.668,0.881,0,0.764,0,0,0,0,0,0.541,0.817,0.312,0.881,0.593,0.673,0,1,1,1,125
0.667,0.679,0.937,0,0.733,0,0,0,0,0,0.758,0.78,0,0.937,0.683,0.711,0,1,1,1,125
0.667,0.569,0.993,0,0.718,0,0,0,0,0,0.936,0.742,0.203,0.993,1,0.748,0,1,1,1,125
1,0.625,0.965,0,0.703,0,0,0,0,0,0.887,0.843,0.0949,0.965,0.679,0.965,0,1,1,1,125
1,0.0495,0.825,0,0.672,0,0,0,0,0,0.536,0.465,0.142,0.825,0.132,0.258,0,1,1,1,125
1,0.0495,0.699,0,0.626,0,0,0,0,0,0.232,0.465,0,0.699,0.0658,0.258,0,1,1,1,125
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0,0.559,0,0.258,0,1,1,0,125
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258,0,1,1,0,125
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258,0,1,1,0,125
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0,0.503,0,0.258,0,1,1,0,125
1,0.0495,0.461,0,0.55,0,0,0,0,0,0.0284,0.465,0.343,0.461,0,0.258,0,1,1,0,125
0.667,0.0834,0.503,0,0.55,0,0,0,0,0,0.0464,0.516,0.0873,0.503,0,0.34,0,1,1,0,125
1,0.253,0.601,0.2,0.58,0,0,0,0,0,0.0747,0.617,0.374,0.601,0,0.487,0,1,1,0,125
0.667,0.316,0.657,0.75,0.611,0,0,0,0,0,0.103,0.68,0.0783,0.657,0,0.524,0,1,1,0,125
0.667,0.335,0.475,0.0667,0.626,0,0,0,0,0,0.126,0.692,0,0.475,0,0.403,0,1,1,0,125
0.667,0.344,0.322,0,0.626,0,0,0,0,0,0.149,0.692,0.19,0.322,0,0.3,0,1,1,0,125
0.667,0.335,0.336,0,0.611,0,0,0.365,0.5,0.383,0.168,0.692,0.0949,0.336,0,0.31,0,1,1,0,125
0.333,0.186,0.35,0,0.611,0,0,0.402,0,0.15,0.186,0.585,0,0.35,0,0.288,0,1,1,0,125
0.333,0.181,0.336,0,0.641,0,0,0.333,0,0,0.196,0.591,0.0475,0.336,0,0.284,0,1,1,0,125
0.333,0.18,0.392,0,0.641,0,0,0.746,0,0,0.222,0.591,0,0.392,0,0.302,0,1,1,0,125
0.333,0.182,0.433,0,0.641,0,0,0.405,0,0,0.235,0.585,0.237,0.433,0,0.316,0,1,1,0,125
0.333,0.196,0.447,0,0.626,0,0,0.622,0,0,0.263,0.597,0.0475,0.447,0,0.321,0,1,1,0,125
0.333,0.232,0.545,0,0.672,0,0,0.709,0,0,0.327,0.61,0.164,0.545,0.0288,0.354,0,1,1,0,125
1,0.793,0.741,0,0.733,0,0,0.445,0,0,0.402,0.974,0.146,0.741,0.346,0.741,0,1,1,0,125
1,0.977,0.881,0,0.764,0,0,0.182,0,0,0.541,0.993,0.247,0.881,0.593,0.881,0,1,1,0,125
0.667,0.679,0.937,0,0.733,0,0,0,0,0,0.758,0.78,0.241,0.937,0.683,0.711,0,1,1,0,125
0.667,0.569,0.993,0,0.718,0,0,0,0,0,0.936,0.742,0.0949,0.993,1,0.748,0,1,1,0,125
1,0.433,0.965,0,0.703,0,0,0,0,0,0.887,0.717,0.0949,0.965,0.679,0.729,0,1,1,0,125
1,0.0495,0.825,0,0.672,0,0,0,0,0,0.536,0.465,0.332,0.825,0.132,0.258,0,1,1,0,125
1,0.0495,0.699,0,0.626,0,0,0,0,0,0.232,0.465,0.19,0.699,0.0658,0.258,0,1,1,0,125
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0.0475,0.559,0,0.258,0,1,1,1,125
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258,0,1,1,1,125
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258,0,1,1,1,125
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0.0681,0.503,0,0.258,0,1,1,1,125
1,0.0514,0.461,0,0.55,0,0,0,0,0,0.0284,0.51,0.105,0.461,0,0.326,0,1,1,1,125
0.667,0.0495,0.503,0,0.55,0,0,0,0,0,0.0464,0.465,0,0.503,0,0.258,0,1,1,1,125
0.333,0.0495,0.601,0,0.58,0,0,0,0,0,0.0747,0.465,0,0.601,0,0.258,0,1,1,1,125
0.333,0.0495,0.657,0,0.611,0,0,0,0,0,0.103,0.465,0.309,0.657,0,0.258,0,1,1,1,125
0.333,0.192,0.475,0,0.626,0,0,0,0,0,0.126,0.579,0.411,0.475,0,0.33,0,1,1,1,125
