occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,general_water_use
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0.06,0.06
1,0.146,0.146,0,0,0,0,0.372,0.621,0.621,0,0,0.0762,0.0762
1,0.309,0.309,0,0,0,0,0.524,0.719,0.719,0,0,0.409,0.409
1,0.345,0.345,0,0,0,0,0.403,0.732,0.732,0,0,0.251,0.251
0.333,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0.333,0.333
0.667,0.203,0.203,0.267,0,0,0,0.284,0.647,0.647,0,0,0.334,0.334
0.667,0.35,0.35,1,0,0,0,0.319,0.732,0.732,0,0.506,0.343,0.343
0.667,0.342,0.342,1,0,0.933,0.817,0.31,0.732,0.732,0,0.47,0,0
0.667,0.191,0.191,0.0667,0,0,0,0.302,0.647,0.647,0,0,0.072,0.072
0.667,0.343,0.343,0,0,0,0,0.375,0.732,0.732,0,0,0.314,0.314
0.667,0.206,0.206,0,0,0,0,0.321,0.66,0.66,0,0,0.194,0.194
0.667,0.434,0.434,0.517,0,0,0,0.449,0.797,0.797,0,0,0.156,0.156
1,0.804,0.804,1,0,0,0,0.741,0.973,0.973,0,0,0.108,0.108
1,0.965,0.965,0.817,0,0,0,0.881,0.993,0.993,0,0,0.216,0.216
1,0.975,0.975,0,0,0,0,0.937,0.973,0.973,0,0,0.216,0.216
1,0.826,0.826,0,0,0,0,0.993,0.934,0.934,0,0,0,0
1,0.646,0.646,0,0,0,0,0.965,0.857,0.857,0,0,0.036,0.036
1,0.22,0.22,0,0,0,0,0.447,0.634,0.634,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0.18,0.18
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.0789,0.0789,0.0167,0,0,0,0.34,0.608,0.608,0,0,0.523,0.523
1,0.247,0.247,0.75,0,0,0,0.487,0.68,0.68,0,0,0.144,0.144
0.667,0.309,0.309,0,0,0,0,0.524,0.719,0.719,0,0,0.226,0.226
0.667,0.345,0.345,0,0,0,0,0.403,0.732,0.732,0,0,0.036,0.036
0.333,0.208,0.208,0,0,0,0,0.279,0.647,0.647,0,0,0,0
0.667,0.362,0.362,0.517,0,0,0,0.31,0.732,0.732,0,0,0.216,0.216
0.667,0.35,0.35,1,0,0,0,0.319,0.732,0.732,0,0,0.036,0.036
0.667,0.342,0.342,0.05,0,0,0,0.31,0.732,0.732,0,0,0.108,0.108
0.667,0.339,0.339,0.5,0,0,0,0.347,0.732,0.732,0,0,0,0
0.667,0.343,0.343,0,0,0,0,0.375,0.732,0.732,0,0,0.036,0.036
0.667,0.368,0.368,0,0,0,0,0.384,0.758,0.758,0,0,0.13,0.13
0.667,0.434,0.434,0,0,0,0,0.449,0.797,0.797,0,0,0.205,0.205
1,0.804,0.804,0,0,0,0,0.741,0.973,0.973,0,0,0.252,0.252
