plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,lighting_garage,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,occupants,hot_water_fixtures
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0.248
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0.165
0.66,0.0982,0.281,0.196,0.196,0,0,0,0,0,0,0.333,0
0.66,0.0982,0.281,0.196,0.196,0,0,0,0,0,0,0.333,0.0827
0.66,0.0982,0.281,0.196,0.196,0,0,0,0,0,0,0.333,0
0.758,0.181,0.14,0.343,0.343,0,0,0,0,0,0,0.667,0
0.758,0.181,0.14,0.343,0.343,0,0,0,0,0,0.9,0.667,0
0.758,0.181,0.14,0.343,0.343,0,0,0,0,0,1,0.667,0
0.797,0.224,0.14,0.418,0.418,0,0,0,0,0,1,0.667,0
0.797,0.224,0.14,0.418,0.418,0,0,0,0,0,1,0.667,0.165
0.915,0.327,0,0.602,0.602,0,0,0,0,0,1,1,0
0.915,0.327,0,0.602,0.602,0,0,0,0,0,1,1,0
0.915,0.327,0,0.602,0.602,0,0,0,0,0,1,1,0
0.915,0.327,0,0.602,0.602,0,0,0,0,0,0.8,1,0.165
0.973,0.402,0,0.798,0.798,0,0,0,0,0,0,1,0.331
0.973,0.402,0,0.798,0.798,0,0,0,0,0,0,1,0.0827
0.973,0.402,0,0.798,0.798,0,0,0,0,0,0,1,0
0.973,0.402,0,0.798,0.798,0,0,0,0,0,0,1,0
0.973,0.402,0,0.798,0.798,0,0,0,0,0,0,1,0
0.973,0.402,0,0.798,0.798,0.335,0.4,0,0,0,0,1,0.165
0.993,0.541,0,0.979,0.979,0.278,1,0,0,0,0,1,0
