occupants,lighting,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,refrigerator,extra_refrigerator,freezer,dishwasher,dishwasher_power,clothes_washer,clothes_washer_power,clothes_dryer,clothes_dryer_exhaust,fixtures,ceiling_fan,plug_loads_other,plug_loads_tv,plug_loads_vehicle,plug_loads_well_pump,fuel_loads_grill,fuel_loads_lighting,fuel_loads_fireplace,pool_pump,pool_heater,hot_tub_pump,hot_tub_heater
1,0.0495,0.559,0.559,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0,0.258,0.465,0.0954,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0.151,0.145
1,0.0495,0.517,0.517,0,0,0.596,0.596,0.596,0,0,0,0,0,0,0,0.258,0.465,0.0464,1,0.266,0.00621,0.266,0.266,0.0235,0.0235,0.183,0.176
1,0.0495,0.517,0.517,0,0,0.58,0.58,0.58,0,0,0,0,0,0,0,0.258,0.465,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0.151,0.145
1,0.0495,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0,0,0,0,0.258,0.465,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0.183,0.176
1,0.0495,0.461,0.461,0,0.465,0.55,0.55,0.55,0,0,0,0,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0.296,0.285
1,0.0833,0.503,0.503,0,0.299,0.55,0.55,0.55,0,0,0,0,0,0,0.140,0.34,0.516,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0.422,0.406
1,0.253,0.601,0.601,0,0,0.58,0.58,0.58,0,0,0,0,0,0,0,0.487,0.617,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0.359,0.345
0.667,0.316,0.657,0.657,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0,0.524,0.68,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0.151,0.145
0.333,0.192,0.475,0.475,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0,0.33,0.579,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0.151,0.145
0.333,0.196,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0.010,0.279,0.579,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0.12,0.115
0.333,0.192,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0.029,0.284,0.579,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0.0945,0.0909
0.333,0.186,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0.010,0.288,0.585,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0.0882,0.0849
0.333,0.181,0.336,0.336,0,0,0.641,0.641,0.641,0.563,0.799,0,0,0,0,0.019,0.284,0.591,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0.0882,0.0849
0,0.0495,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0,0,0,0,0.057,0.258,0.465,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0.0882,0.0849
0,0.0495,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0,0,0,0,0.019,0.258,0.465,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0.151,0.145
0.333,0.196,0.447,0.447,0,0.216,0.626,0.626,0.626,0,0,0,0,0,0,0.029,0.321,0.597,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0.365,0.352
