occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,cooking_range,hot_water_fixtures
1,0.562,0.0161,0.0503,0,0,0,0,0,0
1,0.562,0.0161,0.0503,0,0,0,0,0,0
1,0.562,0.0161,0.0503,0,0,0,0,0,0
1,0.562,0.0161,0.0503,0,0,0,0,0,0
1,0.569,0.0175,0.0548,0,0,0,0,0,0.163
1,0.619,0.0304,0.108,0,0,0,0,0.133,0.288
0.956,0.676,0.0547,0.247,0,0,0,0,0.633,0.113
0.667,0.654,0.0518,0.206,0,0,0,0,0,0.0417
0.667,0.733,0.0932,0.341,0,0,0,0,0,0.0833
0.667,0.733,0.108,0.347,0,0,0,0,0,0.292
0.667,0.733,0.121,0.338,0,0,0,0,0,0.0417
0.667,0.733,0.132,0.326,0,0,0,0,0,0.0833
0.667,0.733,0.141,0.318,0,0,0,0,0,0.5
0.667,0.733,0.157,0.316,0,0,0,0,0,0.0833
0.622,0.724,0.156,0.304,0,0,0,0,0,0.333
0.122,0.599,0.0469,0.105,0,0,0,0,0,0.0417
0,0.562,0.0161,0.0503,0,0,0,0,0,0
0.128,0.616,0.0727,0.156,0,0,0,0,0,0
0.461,0.76,0.282,0.486,0,0,0,0,0.25,0.167
0.667,0.834,0.536,0.672,0,0,0,0,0,0
0.878,0.88,0.831,0.712,0,0,0,0,0,0
1,0.838,0.831,0.597,0,0,0,0,0,0.0716
1,0.659,0.244,0.263,0,0,0,0,0,0.0883
1,0.602,0.0711,0.101,0,0,0,0,0,0
1,0.609,0.0409,0.0732,0,0,0,0,0,0.0417
1,0.609,0.0255,0.0575,0,0,0,0,0,0
1,0.609,0.0184,0.0503,0,0,0,0,0,0.279
1,0.603,0.0168,0.0503,0,0,0,0,0,0.194
1,0.575,0.0189,0.0594,0,0,0,0,0,0.125
0.789,0.628,0.0316,0.106,0,0,0,0,0,0.555
0.667,0.625,0.0374,0.158,0,0,0,0,0,0.167
