occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_showers,hot_water_showers_minutes,hot_water_fixtures
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.58,0.0222,0.0815,0,0,0,0,0,0,0,0,0.35
0.4,0.633,0.0402,0.175,0,0,0,0,0,0,0.112,4,0.167
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0.85,0.869,0.294,0.548,0,0,0,0,0,0.85,0,0,0.272
1,0.976,0.425,0.831,0,0,0,0,0,0.433,0,0,0.272
1,0.992,0.575,0.998,0.464,0.6,0,0,0,0,0,0,0
1,0.97,0.792,0.992,0.177,1,0,0,0,0,0,0,0.363
1,0.928,0.95,0.817,0,0.283,0,0,0,0,0,0,0.0454
1,0.68,0.372,0.283,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.58,0.0222,0.0815,0,0,0,0,0,0,0.209,6,0.142
0.9,0.723,0.0703,0.33,0,0,0,0,0,0,0.209,6,0.233
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0.35,0.692,0.135,0.267,0,0,0,0,0,0,0.187,6,0.354
1,0.976,0.425,0.831,0,0,0,0,0,0,0,0,0.182
1,0.992,0.575,0.998,0,0,0,0,0,0,0,0,0.182
1,0.97,0.792,0.992,0,0,0,0,0,0,0,0,0.182
1,0.805,0.627,0.562,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.576,0.0175,0.051,0,0,0,0,0,0,0.206,6,0.14
1,0.702,0.0308,0.0658,0,0,0,0,0,0,0.331,10,0.453
1,0.705,0.0503,0.175,0,0,0,0,0,0,0.812,22,0.598
1,0.746,0.0792,0.371,0,0,0,0,0,0,0.413,12,0.281
1,0.801,0.108,0.46,0,0,0,0,0,0,0,0,0.0454
1,0.818,0.131,0.487,0,0,0,0,0,0,0,0,0.0454
0.65,0.729,0.105,0.342,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0.35,0.671,0.111,0.219,0,0,0,0,0,0.35,0,0,0.0908
1,0.922,0.342,0.633,0,0,0,0,0,0.933,0,0,0
1,0.976,0.425,0.831,0,0,0,0,0,0,0,0,0.0908
1,0.992,0.575,0.998,0,0,0,0,0,0.1,0,0,0
1,0.867,0.602,0.752,0,0,0,0,0,0.15,0,0,0.0908
1,0.928,0.95,0.817,0,0,0,0,0,0,0,0,0
1,0.85,0.869,0.623,0,0,0,0,0,0,0,0,0
1,0.774,0.516,0.517,0,0,0,0,0,0,0,0,0
1,0.681,0.182,0.203,0,0,0,0,0,0,0.192,6,0.131
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0.4,0.621,0.0385,0.152,0,0,0,0,0,0,0.275,8,0.233
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
0.85,0.869,0.294,0.548,0,0,0,0,0,0.25,0,0,0.182
1,0.976,0.425,0.831,0,0,0,0,0,0,0,0,0.318
1,0.992,0.575,0.998,0,0,0,0,0,0,0,0,0.227
1,0.97,0.792,0.992,0,0,0,0,0,0,0,0,0.0908
1,0.928,0.95,0.817,0,0,0,0,0,0,0.452,13,0.626
1,0.828,0.816,0.574,0,0,0,0,0,0,0,0,0
1,0.562,0.0162,0.0504,0,0,0,0,0,0,0,0,0
