occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,general_water_use
1,0.0661,0.0661,0,0,0,0,0.358,0.608,0.608,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.146,0.146,0,0,0,0,0.372,0.621,0.621,0,0,0.14,0.14
0.667,0.044,0.044,0.517,0,0,0,0.258,0.562,0.562,0,0,0.159,0.159
0.667,0.345,0.345,0.25,0,0,0,0.403,0.732,0.732,0,0,0.119,0.119
0.667,0.371,0.371,0,0,0,0,0.3,0.732,0.732,0,0,0.342,0.342
0.667,0.362,0.362,0.5,0,0,0,0.31,0.732,0.732,0,0,0.149,0.149
0.667,0.35,0.35,0.0167,0,0,0,0.319,0.732,0.732,0,0,0.402,0.402
0.667,0.342,0.342,0,0,0,0,0.31,0.732,0.732,0,0,0.0372,0.0372
0.333,0.191,0.191,0,0,0,0,0.302,0.647,0.647,0,0,0.223,0.223
0.333,0.194,0.194,0,0,0,0,0.316,0.647,0.647,0,0,0.26,0.26
0.333,0.206,0.206,0,0,0,0,0.321,0.66,0.66,0,0,0.0372,0.0372
0.333,0.239,0.239,0,0,0,0,0.354,0.679,0.679,0,0,0,0
0.667,0.551,0.551,0.5,0,0,0,0.58,0.836,0.836,0,0,0.0743,0.0743
0.667,0.658,0.658,1,0,0,0,0.673,0.849,0.849,0,0,0.0743,0.0743
0.667,0.665,0.665,0.05,0,0,0,0.711,0.836,0.836,0,0,0.149,0.149
0.667,0.565,0.565,0,0,0,0,0.748,0.81,0.81,0,0,0.0743,0.0743
0.667,0.445,0.445,0,0,0,0,0.729,0.758,0.758,0,0,0.0372,0.0372
0.667,0.22,0.22,0,0,0,0,0.447,0.634,0.634,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0.0372,0.0372
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.044,0.044,0,0,0,0,0.258,0.562,0.562,0,0,0,0
1,0.0789,0.0789,0.25,0,0,0,0.34,0.608,0.608,0,0,0.334,0.334
1,0.349,0.349,0.783,0,0,0,0.601,0.74,0.74,0,0,0.28,0.28
1,0.442,0.442,0,0,0,0,0.657,0.798,0.798,0,0,0.162,0.162
0.667,0.345,0.345,0,0,0,0,0.403,0.732,0.732,0,0,0.275,0.275
0.667,0.208,0.208,0,0,0,0,0.279,0.647,0.647,0,0,0.217,0.217
0.667,0.203,0.203,0,0,0,0,0.284,0.647,0.647,0,0,0.168,0.168
0.667,0.197,0.197,0,0,0,0,0.288,0.647,0.647,0,0,0.365,0.365
0.667,0.193,0.193,0,0,0.233,0,0.284,0.647,0.647,0,0.295,0.154,0.154
0.667,0.191,0.191,0,0,0.25,0.217,0.302,0.647,0.647,0,0.44,0,0
0.667,0.194,0.194,0.25,0,0,0.6,0.316,0.647,0.647,0,0.55,0,0
0.667,0.368,0.368,0,0,0,0,0.384,0.758,0.758,0,0.479,0.186,0.186
