occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_showers,hot_water_showers_minutes,hot_water_fixtures,electric_vehicle
1,0.582,0.0249,0.372,0.0573,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.585,0.0218,0.365,0.0649,0,0,0,0,0,0.667,0,0,0.111,1
0.967,0.623,0.0368,0.281,0.142,0,0,0,0,0,0.617,0.0561,3,0.148,1
0.8,0.685,0.0642,0.196,0.257,0.605,0.667,0,0,0,0,0,0,0.221,1
0.667,0.682,0.0688,0.225,0.25,0,1,0,0,0,0,0,0,0.111,-0.667
0.6,0.669,0.0725,0.253,0.23,0,0.217,0,0,0,0.667,0,0,0.0369,-0.0333
0.6,0.669,0.0812,0.253,0.229,0,0,0,0,0,0.617,0,0,0.147,0
0.6,0.695,0.108,0.211,0.264,0.106,0.167,0,0,0,0,0,0,0.0737,0
0.467,0.669,0.0948,0.253,0.216,0.693,1,0,0,0,0,0,0,0.184,0
0.267,0.635,0.0737,0.309,0.159,0.546,0.45,0.166,0.233,0.183,0,0,0,0.221,0
0.2,0.617,0.0644,0.337,0.132,0,0,0.553,0,0.35,0,0,0,0.184,0
0.367,0.672,0.115,0.267,0.214,0,0,0.42,0,0,0,0,0,0.0369,-0.683
0.683,0.797,0.236,0.133,0.416,0,0,0.714,0,0,0.25,0,0,0.111,1
0.8,0.882,0.334,0.0842,0.613,0,0,0,0,0,0,0,0,0.258,1
0.8,0.908,0.437,0.0842,0.766,0.108,0.167,0,0,0,0,0,0,0.147,1
0.617,0.826,0.467,0.161,0.645,0.591,1,0,0,0,0,0,0,0.258,1
0.6,0.799,0.583,0.168,0.563,0.618,0.45,0,0,0,0,0,0,0.0737,1
0.767,0.799,0.728,0.112,0.523,0.713,0,0,0,0,0,0.203,10,0.135,1
1,0.725,0.481,0.154,0.391,0.278,0,0,0,0,0,0.541,22,0.359,1
1,0.611,0.117,0.323,0.138,0,0,0,0,0,0,0.248,12,0.165,1
