occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,cooking_range,hot_water_fixtures
1,0.604,0.0429,0.0777,0,0,0,0,0,0.197
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.609,0.0245,0.0809,0.31,0.317,0,0,0,0.165
1,0.628,0.0343,0.145,0.361,0.75,0,0,0,0
1,0.672,0.0532,0.23,0,0,0,0,0,0.0462
0.978,0.735,0.0854,0.337,0,0,0,0,0.767,0.185
0.667,0.657,0.0599,0.205,0.353,0.317,0,0,0,0
0.667,0.728,0.108,0.324,0.662,1,0,0,0,0.139
0.667,0.743,0.129,0.34,0,0.0333,0,0,0,0.0924
0.667,0.743,0.137,0.33,0,0,0,0,0,0.931
0.583,0.722,0.135,0.292,0,0,0,0,0,0.375
0.772,0.743,0.162,0.33,0,0,0,0,0,0.0462
0.894,0.815,0.221,0.431,0,0,0,0,0,0.217
0.372,0.696,0.126,0.253,0,0,0,0,0,0
0.189,0.649,0.0901,0.2,0,0,0,0,0,0
0.333,0.715,0.185,0.365,0,0,0,0,0,0.0924
0.606,0.825,0.459,0.649,0,0,0,0,0.317,0.0462
0.667,0.827,0.616,0.614,0,0,0,0,0.2,0
0.667,0.748,0.518,0.414,0,0,0,0,0,0
0.856,0.69,0.313,0.324,0,0,0,0,0,0.0991
1,0.671,0.182,0.211,0,0,0,0,0,0.0462
1,0.58,0.0295,0.0647,0,0,0,0,0,0
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.589,0.0224,0.0857,0,0,0,0,0,0.137
0.811,0.601,0.0271,0.106,0,0,0,0,0,0.0462
0.667,0.712,0.0771,0.296,0,0,0,0,0,0.147
0.561,0.716,0.0893,0.309,0,0,0,0,0,0.106
0.333,0.657,0.0663,0.202,0,0,0,0,0,0.324
0.333,0.657,0.0724,0.196,0.289,0.317,0.601,0.483,0,0.231
0.333,0.657,0.0763,0.191,0.694,0.75,0,0,0,0.0924
0.333,0.657,0.0841,0.189,0.677,0,0,0,0,0.139
0.333,0.657,0.0893,0.191,0,0,0,0,0,0.139
0.333,0.668,0.0979,0.203,0,0,0,0,0,0.185
0.333,0.686,0.117,0.238,0,0,0,0,0,0.0924
0.356,0.715,0.151,0.318,0,0,0,0,0.0667,0.0462
0.667,0.86,0.354,0.678,0,0,0,0,1,0.0924
0.667,0.851,0.491,0.708,0,0,0,0,0.217,0.0924
0.667,0.827,0.616,0.614,0,0,0.143,0.317,0,0.0462
0.667,0.779,0.611,0.477,0,0,0.215,0.4,0,0
0.939,0.745,0.455,0.446,0,0,0,0,0,0.143
1,0.674,0.185,0.214,0,0,0,0,0,0.157
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.585,0.0169,0.0519,0,0,0,0,0,0
1,0.617,0.0172,0.0519,0,0,0,0,0,0.324
1,0.579,0.0162,0.0519,0,0,0,0,0,0
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.661,0.0495,0.21,0,0,0,0,0,0.253
0.728,0.67,0.0574,0.225,0,0,0,0,0,0.247
0.478,0.608,0.0342,0.118,0,0,0,0,0,0
0.439,0.598,0.0323,0.0992,0,0,0.207,0.317,0,0.0462
0.667,0.728,0.119,0.313,0,0,0.725,0.4,0,0.185
0.394,0.673,0.0869,0.217,0,0,0.441,0,0,0.0462
0.333,0.657,0.0841,0.189,0,0,0.573,0,0,0.139
0.333,0.657,0.0893,0.191,0,0,0.569,0,0,0.0924
0.333,0.668,0.0979,0.203,0,0,0.0419,0,0,0.0924
0.25,0.656,0.0911,0.19,0,0,0,0,0,0.0462
0.311,0.697,0.133,0.283,0,0,0,0,0,0.185
0.106,0.616,0.0724,0.155,0,0,0,0,0,0.0462
0.439,0.755,0.333,0.484,0,0,0,0,0.317,0.679
0.667,0.827,0.616,0.614,0,0,0,0,0.2,0.0436
0.667,0.779,0.611,0.477,0,0,0,0,0,0.0896
0.667,0.727,0.411,0.403,0,0,0,0,0,0
0.75,0.611,0.0989,0.132,0,0,0,0,0,0.0462
0.667,0.57,0.0161,0.0519,0,0,0,0,0,0
0.667,0.57,0.0161,0.0519,0,0,0,0,0,0
0.667,0.57,0.0161,0.0519,0,0,0,0,0,0
0.667,0.57,0.0161,0.0519,0,0,0,0,0,0
0.939,0.609,0.0195,0.0535,0,0,0,0,0,0.361
1,0.617,0.0253,0.0812,0,0,0.0681,0.0667,0.517,0.208
1,0.647,0.0406,0.179,0,0,0.497,0.65,0,0.221
1,0.723,0.0716,0.319,0,0,0.318,0,0,0.128
1,0.812,0.118,0.469,0,0,0.403,0,0,0.479
0.978,0.824,0.144,0.501,0,0,0.393,0,0,0.33
0.561,0.716,0.1,0.305,0,0,0,0,0,0.196
0.333,0.657,0.0724,0.196,0,0,0,0,0,0.0462
0.25,0.586,0.0266,0.0781,0,0,0,0,0,0
0.333,0.57,0.0161,0.0519,0,0,0,0,0,0
0.439,0.598,0.0395,0.096,0,0,0,0,0,0
0.394,0.593,0.0352,0.0877,0,0,0,0,0,0
0.333,0.686,0.117,0.238,0,0,0,0,0.317,0.0924
0.439,0.75,0.183,0.384,0,0,0,0,0.2,0.0924
0.394,0.74,0.209,0.413,0,0,0,0,0,0
0.333,0.711,0.254,0.38,0,0,0,0,0,0.0924
0.439,0.739,0.415,0.419,0,0,0,0,0,0.0924
0.667,0.779,0.611,0.477,0,0,0,0,0,0.185
0.856,0.667,0.268,0.264,0,0,0,0,0,0.231
0.917,0.61,0.0849,0.118,0,0,0,0,0,0.0462
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.57,0.0161,0.0519,0,0,0,0,0,0
1,0.585,0.0194,0.0631,0,0,0,0,0,0.0386
1,0.628,0.0343,0.145,0,0,0,0,0.567,0.0828
1,0.647,0.0438,0.185,0,0,0,0,0.783,0.0462
1,0.656,0.052,0.199,0,0,0,0,1,0.0998
1,0.657,0.0599,0.205,0,0,0,0,1,0.535
