occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.562,0.0159,0.0495,0,0,0,0,0,0,0
1,0.58,0.0199,0.063,0,0,0,0,0,0.4,0
1,0.608,0.026,0.0833,0,0,0,0,0,1,0
1,0.608,0.026,0.0833,0,0,0,0,0,1,0
1,0.608,0.026,0.0833,0,0,0,0,0,1,0
1,0.608,0.026,0.0833,0,0,0,0,0,1,0
1,0.608,0.026,0.0833,0,0,0,0,0,1,0.197
1,0.637,0.0377,0.151,0,0,0,0,0,1,0.1
1,0.68,0.0551,0.253,0,0,0,0,0,1,0.0501
1,0.68,0.0551,0.253,0,0,0,0,0,0.3,0
0.867,0.68,0.0551,0.253,0,0,0,0,0,0,0
0.667,0.68,0.0551,0.253,0,0,0,0,0,0,0
0.667,0.68,0.0551,0.253,0,0,0,0,0,0,0.394
0.667,0.696,0.0627,0.278,0,0,0,0,0,0,0
0.667,0.719,0.074,0.316,0,0,0,0,0,0,0
0.667,0.719,0.074,0.316,0,0,0,0,0,0,0.0986
0.667,0.719,0.074,0.316,0,0,0,0,0,0,0.0986
0.667,0.719,0.074,0.316,0,0,0,0,0,0,0
0.667,0.719,0.074,0.316,0,0,0,0,0,0,0
0.533,0.69,0.0655,0.266,0,0,0,0,0,0,0.0986
0.333,0.647,0.0527,0.192,0,0,0,0,0,0,0
0.333,0.647,0.0527,0.192,0,0,0,0,0,0,0
0.333,0.647,0.0527,0.192,0,0,0,0,0,0,0
0.333,0.647,0.0527,0.192,0,0,0,0,0,0,0
0.333,0.647,0.0527,0.192,0,0,0,0,0,0,0
