occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,hot_water_showers,hot_water_showers_minutes
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0.467,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0833,0.0833,0.3,0,0,0,0.281,0.608,0.026,0,0,0.106,0.138,8
1,0.253,0.253,0,0,0,0,0.14,0.68,0.0551,0,0,0,0,0
0.667,0.316,0.316,0,0,0,0,0.14,0.719,0.074,0,0,0,0,0
0.333,0.192,0.192,0,0,0,0,0.281,0.647,0.0527,0,0,0,0,0
0.333,0.196,0.196,0,0,0,0,0.281,0.647,0.0604,0,0,0.128,0,0
0.333,0.192,0.192,0,0,0,0,0.281,0.647,0.0664,0,0,0.0428,0,0
0.333,0.186,0.186,0,0,0,0,0.281,0.647,0.0724,0,0,0.0857,0,0
0.333,0.181,0.181,0,0.8,0,0,0.281,0.647,0.0759,0.516,0,0.171,0,0
0,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.171,0,0
0,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.128,0,0
0.333,0.196,0.196,0.217,0,0,0,0.281,0.66,0.0982,0,0,0.0857,0,0
0.667,0.418,0.418,0.55,0,0,0,0.14,0.797,0.224,0,0,0.0428,0,0
1,0.798,0.798,0,0.167,0,0,0,0.973,0.402,0.234,0,0,0,0
1,0.979,0.979,0,0.633,0,0,0,0.993,0.541,0.572,0,0.128,0,0
1,0.991,0.991,0,0.667,0,0,0,0.973,0.758,0.548,0,0.257,0,0
1,0.823,0.823,0,0.133,0,0,0,0.934,0.936,0.503,0,0,0,0
1,0.621,0.621,0,0,0,0,0,0.857,0.887,0.277,0,0.175,0.171,10
1,0.374,0.374,0,0,0,0,0.14,0.706,0.363,0,0,0.205,0.211,12
1,0.116,0.116,0,0,0,0,0.281,0.614,0.0879,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.0428,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.281,0.608,0.0183,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.281,0.608,0.0166,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.285,0.369,21
1,0.0833,0.0833,0,0,0,0,0.281,0.608,0.026,0,0,0.231,0.133,8
1,0.253,0.253,0,0,0,0,0.14,0.68,0.0551,0,0,0.0546,0.0708,4
0.333,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.403,0.134,8
0.333,0.192,0.192,0,0.667,0,0,0.281,0.647,0.0527,0.601,0,0.0428,0,0
0.333,0.196,0.196,0,0.133,0,0,0.281,0.647,0.0604,0.146,0,0.128,0,0
0,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
0,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.171,0,0
0,0.0495,0.0495,0.25,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
0.333,0.18,0.18,0,0,0,0,0.281,0.647,0.0845,0,0,0,0,0
0.333,0.182,0.182,0,0,0,0,0.281,0.647,0.0888,0,0,0,0,0
0.333,0.196,0.196,0,0,0,0,0.281,0.66,0.0982,0,0,0,0,0
0.333,0.234,0.234,0,0,0,0,0.281,0.679,0.12,0,0,0.453,0.144,8
1,0.798,0.798,0.717,0,0,0,0,0.973,0.402,0,0,0.357,0.296,17
1,0.979,0.979,0.05,0,0,0,0,0.993,0.541,0,0,0.109,0.141,8
1,0.991,0.991,0,0,0,0,0,0.973,0.758,0,0,0.128,0,0
1,0.823,0.823,0,0,0,0,0,0.934,0.936,0,0,0,0,0
1,0.24,0.24,0,0,0,0,0.281,0.66,0.306,0,0,0.128,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.0857,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.135,0.175,10
1,0.0513,0.0513,0,0,0,0,0.281,0.608,0.02,0,0,0.104,0.134,8
1,0.0833,0.0833,0,0,0,0,0.281,0.608,0.026,0,0,0.0889,0.115,7
1,0.253,0.253,0.467,0,0,0,0.14,0.68,0.0551,0,0,0.168,0.217,13
1,0.449,0.449,0.567,0,0,0,0,0.798,0.103,0,0,0.0915,0.119,7
1,0.477,0.477,0,0,0,0,0,0.818,0.126,0,0,0.251,0.27,15
1,0.49,0.49,0,0,0,0,0,0.818,0.149,0,0,0.225,0.0702,4
0.333,0.192,0.192,0,0,0,0,0.281,0.647,0.0664,0,0,0.0603,0.0782,5
0.333,0.186,0.186,0,0,0,0,0.281,0.647,0.0724,0,0,0.467,0.106,6
0.333,0.181,0.181,0,0,0,0,0.281,0.647,0.0759,0,0,0.491,0.36,20
0.333,0.18,0.18,0,0,0,0,0.281,0.647,0.0845,0,0,0.0428,0,0
0.333,0.182,0.182,0,0,0,0,0.281,0.647,0.0888,0,0,0,0,0
0.333,0.196,0.196,0.717,0,0,0,0.281,0.66,0.0982,0,0,0.0857,0,0
1,0.602,0.602,0.833,0,0,0,0,0.915,0.327,0,0,0.171,0,0
1,0.798,0.798,0,0,0,0,0,0.973,0.402,0,0,0.0857,0,0
0.667,0.669,0.669,0.25,0,0,0,0.14,0.849,0.366,0,0,0.165,0.158,9
1,0.991,0.991,0,0,0,0,0,0.973,0.758,0,0,0.43,0.224,13
1,0.823,0.823,0,0,0,0,0,0.934,0.936,0,0,0.348,0.118,7
1,0.621,0.621,0,0,0,0,0,0.857,0.887,0,0,0,0,0
1,0.374,0.374,0,0,0,0,0.14,0.706,0.363,0,0,0.102,0.132,8
1,0.183,0.183,0,0,0,0,0.14,0.667,0.16,0,0,0.207,0.101,6
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0.217,0,0,0,0.421,0.562,0.0159,0,0,0.0851,0.11,6
1,0.0513,0.0513,0.55,0,0,0,0.281,0.608,0.02,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.206,0.267,15
1,0.183,0.183,0,0,0,0,0.281,0.64,0.0449,0,0,0.167,0.106,6
0.667,0.192,0.192,0,0,0,0,0.281,0.647,0.0527,0,0,0,0,0
0.333,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
0.333,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.257,0,0
0.333,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
0.333,0.181,0.181,0,0,0,0,0.281,0.647,0.0759,0,0,0,0,0
0.333,0.18,0.18,0,0,0,0,0.281,0.647,0.0845,0,0,0,0,0
0.333,0.182,0.182,0,0,0,0,0.281,0.647,0.0888,0,0,0,0,0
0.333,0.196,0.196,0.217,0,0,0,0.281,0.66,0.0982,0,0,0.214,0,0
0.667,0.418,0.418,1,0,0,0,0.14,0.797,0.224,0,0,0,0,0
1,0.798,0.798,0.333,0,0,0,0,0.973,0.402,0,0,0.0857,0,0
1,0.979,0.979,0,0,0,0,0,0.993,0.541,0,0,0.214,0,0
0.667,0.677,0.677,0,0,0,0,0.14,0.836,0.51,0,0,0.0428,0,0
1,0.823,0.823,0,0,0,0,0,0.934,0.936,0,0,0.352,0.235,13
1,0.621,0.621,0,0,0,0,0,0.857,0.887,0,0,0.462,0.266,15
1,0.212,0.212,0,0,0,0,0.281,0.634,0.189,0,0,0.0428,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
