plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,occupants,hot_water_fixtures
0.562,0.0159,0.421,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,0.567,1,0
0.608,0.026,0.281,0.0833,0,0,0,0,0,0.717,1,0.519
0.68,0.0551,0.14,0.253,0,0,0,0,0,0,1,0.197
0.719,0.074,0.14,0.316,0,0,0,0,0,0,0.667,0.0394
0.647,0.0527,0.281,0.192,0,0,0,0,0,0,0.333,0
0.647,0.0604,0.281,0.196,0,0,0,0,0,0,0.333,0.0394
0.647,0.0664,0.281,0.192,0,0,0,0,0,0,0.333,0.197
0.647,0.0724,0.281,0.186,0,0,0,0,0,0,0.333,0.236
0.647,0.0759,0.281,0.181,0.588,0.267,0,0,0,0,0.333,0.0788
0.562,0.0159,0.421,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,0,0,0.197
0.66,0.0982,0.281,0.196,0,0,0,0,0,0.317,0.333,0.0394
0.797,0.224,0.14,0.418,0,0,0,0,0,0.967,0.667,0.158
0.973,0.402,0,0.798,0.103,0.0667,0,0,0,0,1,0.276
0.993,0.541,0,0.979,0.44,0.467,0,0,0,0,1,0.0788
0.973,0.758,0,0.991,0.487,0.533,0,0,0,0,1,0.0394
0.934,0.936,0,0.823,0.475,0,0,0,0,0,1,0.0788
0.857,0.887,0,0.621,0.482,0,0,0,0,0,1,0.197
0.706,0.363,0.14,0.374,0,0,0,0,0,0,1,0.303
0.614,0.0879,0.281,0.116,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,0,1,0.0394
0.608,0.0183,0.281,0.0495,0,0,0,0,0,0,1,0.158
0.608,0.0166,0.281,0.0495,0,0,0,0,0,0,1,0.15
0.562,0.0159,0.421,0.0495,0,0,0,0,0,0,1,0.234
0.608,0.026,0.281,0.0833,0,0,0,0,0,0,1,0.695
0.68,0.0551,0.14,0.253,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,0,0.333,0.134
0.647,0.0527,0.281,0.192,0.461,0.533,0,0,0,0,0.333,0.0394
0.647,0.0604,0.281,0.196,0.14,0,0,0,0,0,0.333,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,0,0,0
