occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,cooking_range,hot_water_fixtures
1,0.563,0.016,0.05,0,0,0,0,0,0
1,0.563,0.016,0.05,0,0,0,0,0,0
1,0.563,0.016,0.05,0,0,0,0,0,0
1,0.563,0.016,0.05,0,0,0,0,0,0
1,0.563,0.016,0.05,0,0,0,0,0,0
1,0.563,0.016,0.05,0,0,0,0,0,0
1,0.608,0.0312,0.129,0,0,0,0,0,0.103
1,0.698,0.0657,0.28,0,0,0,0,0,0.352
0.911,0.708,0.0768,0.295,0,0,0,0,0,0.223
0.417,0.584,0.0255,0.086,0,0,0,0,0,0.0175
0.667,0.671,0.0793,0.233,0,0,0,0,0,0.364
0.667,0.734,0.127,0.328,0,0,0,0,0.517,0.191
0.667,0.734,0.136,0.318,0,0,0.474,0.483,0,0.19
0.667,0.67,0.0986,0.215,0,0,0.0594,0,0,0.122
0.667,0.734,0.161,0.317,0,0,0,0,0,0.098
0.667,0.704,0.136,0.266,0,0,0,0,0,0.319
0.667,0.79,0.216,0.404,0,0,0,0,0,0.138
0.922,0.934,0.364,0.716,0,0,0,0,0.517,0.122
1,0.99,0.514,0.946,0,0,0,0,0.267,0
1,0.98,0.714,0.998,0,0,0,0,0.5,0.0407
1,0.945,0.903,0.871,0,0,0,0,0,0.0407
1,0.824,0.751,0.572,0,0,0,0,0,0
1,0.604,0.128,0.136,0,0,0,0,0,0
1,0.563,0.016,0.05,0,0,0,0,0,0
1,0.563,0.016,0.05,0,0,0,0,0,0
1,0.563,0.016,0.05,0,0,0,0,0,0
1,0.563,0.016,0.05,0,0,0,0,0,0
1,0.563,0.016,0.05,0,0,0,0,0,0
1,0.563,0.016,0.05,0,0,0,0,0,0
1,0.611,0.0266,0.0853,0,0,0,0,0,0.617
0.828,0.661,0.0463,0.198,0,0,0,0,0.267,0.199
0.667,0.712,0.0703,0.304,0,0,0,0,0.5,0.315
0.494,0.686,0.0675,0.259,0,0,0,0,0,0.163
0.422,0.671,0.0712,0.237,0,0,0,0,0,0.0407
0.667,0.734,0.115,0.34,0,0,0,0,0,0
0.667,0.734,0.127,0.328,0,0,0,0,0.517,0.244
0.667,0.734,0.136,0.318,0,0,0,0,0,0.0815
0.667,0.734,0.151,0.314,0,0,0,0,0.25,0
0.667,0.734,0.161,0.317,0,0,0,0,0,0.0815
0.667,0.754,0.178,0.34,0,0,0,0,0,0.163
0.839,0.851,0.27,0.5,0,0,0,0,0,0.164
0.911,0.925,0.354,0.692,0,0,0,0,0,0.499
0.417,0.74,0.215,0.413,0,0,0,0,0,0.249
0.667,0.841,0.482,0.682,0.269,0.267,0,0,0,0
0.667,0.818,0.607,0.597,0.675,0,0,0,0,0
0.839,0.795,0.678,0.511,0.417,0,0,0,0,0
1,0.641,0.219,0.221,0,0,0,0,0,0.169
1,0.607,0.0945,0.123,0,0,0,0,0,0
1,0.611,0.0535,0.0849,0,0,0,0,0,0.0815
1,0.574,0.0223,0.0558,0,0,0,0,0,0
1,0.563,0.016,0.05,0,0,0,0,0,0
1,0.563,0.016,0.05,0,0,0,0,0,0
1,0.563,0.016,0.05,0,0,0,0,0,0
1,0.575,0.0188,0.0591,0,0,0,0,0,0.0815
1,0.619,0.0336,0.137,0,0,0,0,0,0.326
1,0.637,0.0432,0.177,0,0,0,0,0,0.461
0.744,0.581,0.0229,0.0814,0,0,0,0,0,0
0.667,0.563,0.016,0.05,0,0,0,0,0,0
0.667,0.651,0.0688,0.199,0,0,0,0,0,0.0407
0.667,0.734,0.127,0.328,0,0,0,0,0,0.0407
0.667,0.734,0.136,0.318,0,0,0,0,0,0.0407
0.667,0.69,0.115,0.246,0,0,0,0,0,0.163
0.667,0.604,0.0506,0.114,0,0,0,0,0,0
