occupants,cooking_range,plug_loads_tv,plug_loads_other,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,hot_water_clothes_washer,clothes_washer,clothes_dryer,hot_water_dishwasher,dishwasher,hot_water_fixtures,refrigerator
0.246,0.38,0.233,0.83,0.435,0.105,0.105,0,0.559,0.559,0.704,0.324,0.324,0.379,0.64
0.246,0.293,0.261,0.868,0.458,0.114,0.114,0,0.593,0.593,0.753,0.342,0.342,0.356,0.625
0.295,0.613,0.325,0.906,0.526,0.181,0.181,0,0.57,0.57,0.679,0.342,0.342,0.448,0.67
0.541,1,0.399,0.981,0.674,0.352,0.352,0,0.559,0.559,0.667,0.441,0.441,0.586,0.731
0.885,0.78,0.537,1,0.868,0.467,0.467,0,0.559,0.559,0.63,0.784,0.784,0.69,0.762
0.885,0.4,0.752,0.943,0.98,0.619,0.619,0,0.559,0.559,0.63,1,1,0.69,0.731
0.885,0.233,0.929,0.887,0.913,0.867,0.867,0,0.559,0.559,0.642,0.811,0.811,0.632,0.716
1,0.167,0.88,0.849,0.727,1,1,0,0.536,0.536,0.667,0.604,0.604,0.552,0.701
1,0.107,0.532,0.755,0.638,0.867,0.867,0,0.365,0.365,0.543,0.396,0.396,0.437,0.67
1,0.0733,0.23,0.679,0.249,0.6,0.6,0,0.194,0.194,0.296,0.279,0.279,0.299,0.625
1,0.0467,0.0947,0.66,0.124,0.438,0.438,0,0.103,0.103,0.123,0.135,0.135,0.138,0.609
1,0.0467,0.0461,0.623,0.0743,0.438,0.438,0,0.0798,0.0798,0.0741,0.0631,0.0631,0.069,0.594
1,0.0267,0.023,0.604,0.0495,0.438,0.438,0,0.0456,0.0456,0.0494,0.045,0.045,0.046,0.579
1,0.0267,0.0179,0.585,0.0495,0.438,0.438,0,0.0456,0.0456,0.0247,0.027,0.027,0.0575,0.564
1,0.0467,0.0282,0.604,0.0548,0.438,0.438,0,0.0798,0.0798,0.0494,0.027,0.027,0.115,0.549
1,0.0733,0.0461,0.623,0.15,0.352,0.352,0,0.125,0.125,0.0741,0.0901,0.0901,0.391,0.549
1,0.167,0.0742,0.698,0.351,0.333,0.333,0,0.251,0.251,0.198,0.18,0.18,0.897,0.579
0.869,0.28,0.102,0.792,0.444,0.324,0.324,0,0.559,0.559,0.395,0.279,0.279,1,0.609
0.41,0.307,0.125,0.811,0.47,0.314,0.314,0,0.832,0.832,0.593,0.523,0.523,0.92,0.625
0.246,0.32,0.148,0.811,0.481,0.267,0.267,0,0.98,0.98,0.84,0.586,0.586,0.77,0.625
0.246,0.28,0.166,0.811,0.468,0.21,0.21,0,0.958,0.958,0.963,0.505,0.505,0.644,0.609
0.246,0.333,0.184,0.83,0.449,0.143,0.143,0,0.855,0.855,1,0.432,0.432,0.54,0.609
0.246,0.38,0.194,0.849,0.436,0.114,0.114,0,0.764,0.764,0.914,0.369,0.369,0.46,0.64
0.246,0.307,0.22,0.849,0.432,0.105,0.105,0,0.684,0.684,0.827,0.414,0.414,0.402,0.64
0.246,0.38,0.233,0.83,0.435,0.105,0.105,0,0.559,0.559,0.704,0.324,0.324,0.379,0.64
0.246,0.293,0.261,0.868,0.458,0.114,0.114,0,0.593,0.593,0.753,0.342,0.342,0.356,0.625
0.295,0.613,0.325,0.906,0.526,0.181,0.181,0,0.57,0.57,0.679,0.342,0.342,0.448,0.67
0.541,1,0.399,0.981,0.674,0.352,0.352,0,0.559,0.559,0.667,0.441,0.441,0.586,0.731
0.885,0.78,0.537,1,0.868,0.467,0.467,0,0.559,0.559,0.63,0.784,0.784,0.69,0.762
0.885,0.4,0.752,0.943,0.98,0.619,0.619,0,0.559,0.559,0.63,1,1,0.69,0.731
0.885,0.233,0.929,0.887,0.913,0.867,0.867,0,0.559,0.559,0.642,0.811,0.811,0.632,0.716
1,0.167,0.88,0.849,0.727,1,1,0,0.536,0.536,0.667,0.604,0.604,0.552,0.701
1,0.107,0.532,0.755,0.638,0.867,0.867,0,0.365,0.365,0.543,0.396,0.396,0.437,0.67
1,0.0733,0.23,0.679,0.249,0.6,0.6,0,0.194,0.194,0.296,0.279,0.279,0.299,0.625
1,0.0467,0.0947,0.66,0.124,0.438,0.438,0,0.103,0.103,0.123,0.135,0.135,0.138,0.609
1,0.0467,0.0461,0.623,0.0743,0.438,0.438,0,0.0798,0.0798,0.0741,0.0631,0.0631,0.069,0.594
1,0.0267,0.023,0.604,0.0495,0.438,0.438,0,0.0456,0.0456,0.0494,0.045,0.045,0.046,0.579
1,0.0267,0.0179,0.585,0.0495,0.438,0.438,0,0.0456,0.0456,0.0247,0.027,0.027,0.0575,0.564
1,0.0467,0.0282,0.604,0.0548,0.438,0.438,0,0.0798,0.0798,0.0494,0.027,0.027,0.115,0.549
1,0.0733,0.0461,0.623,0.15,0.352,0.352,0,0.125,0.125,0.0741,0.0901,0.0901,0.391,0.549
1,0.167,0.0742,0.698,0.351,0.333,0.333,0,0.251,0.251,0.198,0.18,0.18,0.897,0.579
0.869,0.28,0.102,0.792,0.444,0.324,0.324,0,0.559,0.559,0.395,0.279,0.279,1,0.609
0.41,0.307,0.125,0.811,0.47,0.314,0.314,0,0.832,0.832,0.593,0.523,0.523,0.92,0.625
0.246,0.32,0.148,0.811,0.481,0.267,0.267,0,0.98,0.98,0.84,0.586,0.586,0.77,0.625
0.246,0.28,0.166,0.811,0.468,0.21,0.21,0,0.958,0.958,0.963,0.505,0.505,0.644,0.609
0.246,0.333,0.184,0.83,0.449,0.143,0.143,0,0.855,0.855,1,0.432,0.432,0.54,0.609
0.246,0.38,0.194,0.849,0.436,0.114,0.114,0,0.764,0.764,0.914,0.369,0.369,0.46,0.64
0.246,0.307,0.22,0.849,0.432,0.105,0.105,0,0.684,0.684,0.827,0.414,0.414,0.402,0.64
0.246,0.38,0.233,0.83,0.435,0.105,0.105,0,0.559,0.559,0.704,0.324,0.324,0.379,0.64
0.246,0.293,0.261,0.868,0.458,0.114,0.114,0,0.593,0.593,0.753,0.342,0.342,0.356,0.625
0.295,0.613,0.325,0.906,0.526,0.181,0.181,0,0.57,0.57,0.679,0.342,0.342,0.448,0.67
0.541,1,0.399,0.981,0.674,0.352,0.352,0,0.559,0.559,0.667,0.441,0.441,0.586,0.731
0.885,0.78,0.537,1,0.868,0.467,0.467,0,0.559,0.559,0.63,0.784,0.784,0.69,0.762
0.885,0.4,0.752,0.943,0.98,0.619,0.619,0,0.559,0.559,0.63,1,1,0.69,0.731
0.885,0.233,0.929,0.887,0.913,0.867,0.867,0,0.559,0.559,0.642,0.811,0.811,0.632,0.716
1,0.167,0.88,0.849,0.727,1,1,0,0.536,0.536,0.667,0.604,0.604,0.552,0.701
1,0.107,0.532,0.755,0.638,0.867,0.867,0,0.365,0.365,0.543,0.396,0.396,0.437,0.67
1,0.0733,0.23,0.679,0.249,0.6,0.6,0,0.194,0.194,0.296,0.279,0.279,0.299,0.625
1,0.0467,0.0947,0.66,0.124,0.438,0.438,0,0.103,0.103,0.123,0.135,0.135,0.138,0.609
1,0.0467,0.0461,0.623,0.0743,0.438,0.438,0,0.0798,0.0798,0.0741,0.0631,0.0631,0.069,0.594
1,0.0267,0.023,0.604,0.0495,0.438,0.438,0,0.0456,0.0456,0.0494,0.045,0.045,0.046,0.579
1,0.0267,0.0179,0.585,0.0495,0.438,0.438,0,0.0456,0.0456,0.0247,0.027,0.027,0.0575,0.564
1,0.0467,0.0282,0.604,0.0548,0.438,0.438,0,0.0798,0.0798,0.0494,0.027,0.027,0.115,0.549
1,0.0733,0.0461,0.623,0.15,0.352,0.352,0,0.125,0.125,0.0741,0.0901,0.0901,0.391,0.549
1,0.167,0.0742,0.698,0.351,0.333,0.333,0,0.251,0.251,0.198,0.18,0.18,0.897,0.579
0.869,0.28,0.102,0.792,0.444,0.324,0.324,0,0.559,0.559,0.395,0.279,0.279,1,0.609
0.41,0.307,0.125,0.811,0.47,0.314,0.314,0,0.832,0.832,0.593,0.523,0.523,0.92,0.625
0.246,0.32,0.148,0.811,0.481,0.267,0.267,0,0.98,0.98,0.84,0.586,0.586,0.77,0.625
0.246,0.28,0.166,0.811,0.468,0.21,0.21,0,0.958,0.958,0.963,0.505,0.505,0.644,0.609
0.246,0.333,0.184,0.83,0.449,0.143,0.143,0,0.855,0.855,1,0.432,0.432,0.54,0.609
0.246,0.38,0.194,0.849,0.436,0.114,0.114,0,0.764,0.764,0.914,0.369,0.369,0.46,0.64
0.246,0.307,0.22,0.849,0.432,0.105,0.105,0,0.684,0.684,0.827,0.414,0.414,0.402,0.64
0.246,0.38,0.233,0.83,0.435,0.105,0.105,0,0.559,0.559,0.704,0.324,0.324,0.379,0.64
0.246,0.293,0.261,0.868,0.458,0.114,0.114,0,0.593,0.593,0.753,0.342,0.342,0.356,0.625
0.295,0.613,0.325,0.906,0.526,0.181,0.181,0,0.57,0.57,0.679,0.342,0.342,0.448,0.67
0.541,1,0.399,0.981,0.674,0.352,0.352,0,0.559,0.559,0.667,0.441,0.441,0.586,0.731
0.885,0.78,0.537,1,0.868,0.467,0.467,0,0.559,0.559,0.63,0.784,0.784,0.69,0.762
0.885,0.4,0.752,0.943,0.98,0.619,0.619,0,0.559,0.559,0.63,1,1,0.69,0.731
0.885,0.233,0.929,0.887,0.913,0.867,0.867,0,0.559,0.559,0.642,0.811,0.811,0.632,0.716
1,0.167,0.88,0.849,0.727,1,1,0,0.536,0.536,0.667,0.604,0.604,0.552,0.701
1,0.107,0.532,0.755,0.638,0.867,0.867,0,0.365,0.365,0.543,0.396,0.396,0.437,0.67
1,0.0733,0.23,0.679,0.249,0.6,0.6,0,0.194,0.194,0.296,0.279,0.279,0.299,0.625
1,0.0467,0.0947,0.66,0.124,0.438,0.438,0,0.103,0.103,0.123,0.135,0.135,0.138,0.609
1,0.0467,0.0461,0.623,0.0743,0.438,0.438,0,0.0798,0.0798,0.0741,0.0631,0.0631,0.069,0.594
1,0.0267,0.023,0.604,0.0495,0.438,0.438,0,0.0456,0.0456,0.0494,0.045,0.045,0.046,0.579
1,0.0267,0.0179,0.585,0.0495,0.438,0.438,0,0.0456,0.0456,0.0247,0.027,0.027,0.0575,0.564
1,0.0467,0.0282,0.604,0.0548,0.438,0.438,0,0.0798,0.0798,0.0494,0.027,0.027,0.115,0.549
1,0.0733,0.0461,0.623,0.15,0.352,0.352,0,0.125,0.125,0.0741,0.0901,0.0901,0.391,0.549
1,0.167,0.0742,0.698,0.351,0.333,0.333,0,0.251,0.251,0.198,0.18,0.18,0.897,0.579
0.869,0.28,0.102,0.792,0.444,0.324,0.324,0,0.559,0.559,0.395,0.279,0.279,1,0.609
0.41,0.307,0.125,0.811,0.47,0.314,0.314,0,0.832,0.832,0.593,0.523,0.523,0.92,0.625
0.246,0.32,0.148,0.811,0.481,0.267,0.267,0,0.98,0.98,0.84,0.586,0.586,0.77,0.625
0.246,0.28,0.166,0.811,0.468,0.21,0.21,0,0.958,0.958,0.963,0.505,0.505,0.644,0.609
0.246,0.333,0.184,0.83,0.449,0.143,0.143,0,0.855,0.855,1,0.432,0.432,0.54,0.609
0.246,0.38,0.194,0.849,0.436,0.114,0.114,0,0.764,0.764,0.914,0.369,0.369,0.46,0.64
0.246,0.307,0.22,0.849,0.432,0.105,0.105,0,0.684,0.684,0.827,0.414,0.414,0.402,0.64
0.246,0.38,0.233,0.83,0.435,0.105,0.105,0,0.559,0.559,0.704,0.324,0.324,0.379,0.64
0.246,0.293,0.261,0.868,0.458,0.114,0.114,0,0.593,0.593,0.753,0.342,0.342,0.356,0.625
0.295,0.613,0.325,0.906,0.526,0.181,0.181,0,0.57,0.57,0.679,0.342,0.342,0.448,0.67
0.541,1,0.399,0.981,0.674,0.352,0.352,0,0.559,0.559,0.667,0.441,0.441,0.586,0.731
0.885,0.78,0.537,1,0.868,0.467,0.467,0,0.559,0.559,0.63,0.784,0.784,0.69,0.762
0.885,0.4,0.752,0.943,0.98,0.619,0.619,0,0.559,0.559,0.63,1,1,0.69,0.731
0.885,0.233,0.929,0.887,0.913,0.867,0.867,0,0.559,0.559,0.642,0.811,0.811,0.632,0.716
1,0.167,0.88,0.849,0.727,1,1,0,0.536,0.536,0.667,0.604,0.604,0.552,0.701
1,0.107,0.532,0.755,0.638,0.867,0.867,0,0.365,0.365,0.543,0.396,0.396,0.437,0.67
1,0.0733,0.23,0.679,0.249,0.6,0.6,0,0.194,0.194,0.296,0.279,0.279,0.299,0.625
1,0.0467,0.113,0.66,0.124,0.438,0.438,0,0.103,0.103,0.123,0.135,0.135,0.138,0.609
1,0.0467,0.0563,0.623,0.0743,0.438,0.438,0,0.0798,0.0798,0.0741,0.0631,0.0631,0.069,0.594
1,0.0267,0.0307,0.604,0.0495,0.429,0.429,0,0.0456,0.0456,0.0494,0.045,0.045,0.046,0.579
1,0.0267,0.0205,0.585,0.0495,0.429,0.429,0,0.0456,0.0456,0.0247,0.027,0.027,0.0575,0.564
1,0.0467,0.0282,0.604,0.0548,0.438,0.438,0,0.0798,0.0798,0.0494,0.027,0.027,0.115,0.549
1,0.0733,0.0358,0.623,0.15,0.429,0.429,0,0.125,0.125,0.0741,0.0901,0.0901,0.391,0.549
1,0.167,0.0614,0.698,0.351,0.419,0.419,0,0.251,0.251,0.198,0.18,0.18,0.897,0.579
0.869,0.28,0.11,0.792,0.444,0.39,0.39,0,0.559,0.559,0.395,0.279,0.279,1,0.609
0.41,0.307,0.182,0.811,0.47,0.343,0.343,0,0.832,0.832,0.593,0.523,0.523,0.92,0.625
0.246,0.32,0.241,0.811,0.481,0.286,0.286,0,0.98,0.98,0.84,0.586,0.586,0.77,0.625
0.246,0.28,0.287,0.811,0.468,0.229,0.229,0,0.958,0.958,0.963,0.505,0.505,0.644,0.609
0.246,0.333,0.315,0.83,0.449,0.152,0.152,0,0.855,0.855,1,0.432,0.432,0.54,0.609
0.246,0.38,0.338,0.849,0.436,0.114,0.114,0,0.764,0.764,0.914,0.369,0.369,0.46,0.64
0.246,0.307,0.399,0.849,0.432,0.105,0.105,0,0.684,0.684,0.827,0.414,0.414,0.402,0.64
0.246,0.38,0.456,0.83,0.435,0.105,0.105,0,0.559,0.559,0.704,0.324,0.324,0.379,0.64
0.246,0.293,0.502,0.868,0.458,0.114,0.114,0,0.593,0.593,0.753,0.342,0.342,0.356,0.625
0.295,0.613,0.527,0.906,0.526,0.181,0.181,0,0.57,0.57,0.679,0.342,0.342,0.448,0.67
0.541,1,0.545,0.981,0.674,0.362,0.362,0,0.559,0.559,0.667,0.441,0.441,0.586,0.731
0.885,0.78,0.642,1,0.868,0.457,0.457,0,0.559,0.559,0.63,0.784,0.784,0.69,0.762
0.885,0.4,0.845,0.943,0.98,0.571,0.571,0,0.559,0.559,0.63,1,1,0.69,0.731
0.885,0.233,0.993,0.887,0.913,0.79,0.79,0,0.559,0.559,0.642,0.811,0.811,0.632,0.716
1,0.167,0.916,0.849,0.727,0.933,0.933,0,0.536,0.536,0.667,0.604,0.604,0.552,0.701
1,0.107,0.578,0.755,0.638,0.81,0.81,0,0.365,0.365,0.543,0.396,0.396,0.437,0.67
1,0.0733,0.264,0.679,0.249,0.562,0.562,0,0.194,0.194,0.296,0.279,0.279,0.299,0.625
1,0.0467,0.113,0.66,0.124,0.438,0.438,0,0.103,0.103,0.123,0.135,0.135,0.138,0.609
1,0.0467,0.0563,0.623,0.0743,0.438,0.438,0,0.0798,0.0798,0.0741,0.0631,0.0631,0.069,0.594
1,0.0267,0.0307,0.604,0.0495,0.429,0.429,0,0.0456,0.0456,0.0494,0.045,0.045,0.046,0.579
1,0.0267,0.0205,0.585,0.0495,0.429,0.429,0,0.0456,0.0456,0.0247,0.027,0.027,0.0575,0.564
1,0.0467,0.0282,0.604,0.0548,0.438,0.438,0,0.0798,0.0798,0.0494,0.027,0.027,0.115,0.549
1,0.0733,0.0358,0.623,0.15,0.429,0.429,0,0.125,0.125,0.0741,0.0901,0.0901,0.391,0.549
1,0.167,0.0614,0.698,0.351,0.419,0.419,0,0.251,0.251,0.198,0.18,0.18,0.897,0.579
0.869,0.28,0.11,0.792,0.444,0.39,0.39,0,0.559,0.559,0.395,0.279,0.279,1,0.609
0.41,0.307,0.182,0.811,0.47,0.343,0.343,0,0.832,0.832,0.593,0.523,0.523,0.92,0.625
0.246,0.32,0.241,0.811,0.481,0.286,0.286,0,0.98,0.98,0.84,0.586,0.586,0.77,0.625
0.246,0.28,0.287,0.811,0.468,0.229,0.229,0,0.958,0.958,0.963,0.505,0.505,0.644,0.609
0.246,0.333,0.315,0.83,0.449,0.152,0.152,0,0.855,0.855,1,0.432,0.432,0.54,0.609
0.246,0.38,0.338,0.849,0.436,0.114,0.114,0,0.764,0.764,0.914,0.369,0.369,0.46,0.64
0.246,0.307,0.399,0.849,0.432,0.105,0.105,0,0.684,0.684,0.827,0.414,0.414,0.402,0.64
0.246,0.38,0.456,0.83,0.435,0.105,0.105,0,0.559,0.559,0.704,0.324,0.324,0.379,0.64
0.246,0.293,0.502,0.868,0.458,0.114,0.114,0,0.593,0.593,0.753,0.342,0.342,0.356,0.625
0.295,0.613,0.527,0.906,0.526,0.181,0.181,0,0.57,0.57,0.679,0.342,0.342,0.448,0.67
0.541,1,0.545,0.981,0.674,0.362,0.362,0,0.559,0.559,0.667,0.441,0.441,0.586,0.731
0.885,0.78,0.642,1,0.868,0.457,0.457,0,0.559,0.559,0.63,0.784,0.784,0.69,0.762
0.885,0.4,0.845,0.943,0.98,0.571,0.571,0,0.559,0.559,0.63,1,1,0.69,0.731
0.885,0.233,0.993,0.887,0.913,0.79,0.79,0,0.559,0.559,0.642,0.811,0.811,0.632,0.716
1,0.167,0.916,0.849,0.727,0.933,0.933,0,0.536,0.536,0.667,0.604,0.604,0.552,0.701
1,0.107,0.578,0.755,0.638,0.81,0.81,0,0.365,0.365,0.543,0.396,0.396,0.437,0.67
1,0.0733,0.264,0.679,0.249,0.562,0.562,0,0.194,0.194,0.296,0.279,0.279,0.299,0.625
1,0.0467,0.0947,0.66,0.124,0.438,0.438,0,0.103,0.103,0.123,0.135,0.135,0.138,0.609
1,0.0467,0.0461,0.623,0.0743,0.438,0.438,0,0.0798,0.0798,0.0741,0.0631,0.0631,0.069,0.594
1,0.0267,0.023,0.604,0.0495,0.438,0.438,0,0.0456,0.0456,0.0494,0.045,0.045,0.046,0.579
1,0.0267,0.0179,0.585,0.0495,0.438,0.438,0,0.0456,0.0456,0.0247,0.027,0.027,0.0575,0.564
1,0.0467,0.0282,0.604,0.0548,0.438,0.438,0,0.0798,0.0798,0.0494,0.027,0.027,0.115,0.549
1,0.0733,0.0461,0.623,0.15,0.352,0.352,0,0.125,0.125,0.0741,0.0901,0.0901,0.391,0.549
1,0.167,0.0742,0.698,0.351,0.333,0.333,0,0.251,0.251,0.198,0.18,0.18,0.897,0.579
0.869,0.28,0.102,0.792,0.444,0.324,0.324,0,0.559,0.559,0.395,0.279,0.279,1,0.609
0.41,0.307,0.125,0.811,0.47,0.314,0.314,0,0.832,0.832,0.593,0.523,0.523,0.92,0.625
0.246,0.32,0.148,0.811,0.481,0.267,0.267,0,0.98,0.98,0.84,0.586,0.586,0.77,0.625
0.246,0.28,0.166,0.811,0.468,0.21,0.21,0,0.958,0.958,0.963,0.505,0.505,0.644,0.609
0.246,0.333,0.184,0.83,0.449,0.143,0.143,0,0.855,0.855,1,0.432,0.432,0.54,0.609
0.246,0.38,0.194,0.849,0.436,0.114,0.114,0,0.764,0.764,0.914,0.369,0.369,0.46,0.64
0.246,0.307,0.22,0.849,0.432,0.105,0.105,0,0.684,0.684,0.827,0.414,0.414,0.402,0.64
0.246,0.38,0.233,0.83,0.435,0.105,0.105,0,0.559,0.559,0.704,0.324,0.324,0.379,0.64
0.246,0.293,0.261,0.868,0.458,0.114,0.114,0,0.593,0.593,0.753,0.342,0.342,0.356,0.625
0.295,0.613,0.325,0.906,0.526,0.181,0.181,0,0.57,0.57,0.679,0.342,0.342,0.448,0.67
0.541,1,0.399,0.981,0.674,0.352,0.352,0,0.559,0.559,0.667,0.441,0.441,0.586,0.731
0.885,0.78,0.537,1,0.868,0.467,0.467,0,0.559,0.559,0.63,0.784,0.784,0.69,0.762
0.885,0.4,0.752,0.943,0.98,0.619,0.619,0,0.559,0.559,0.63,1,1,0.69,0.731
0.885,0.233,0.929,0.887,0.913,0.867,0.867,0,0.559,0.559,0.642,0.811,0.811,0.632,0.716
1,0.167,0.88,0.849,0.727,1,1,0,0.536,0.536,0.667,0.604,0.604,0.552,0.701
1,0.107,0.532,0.755,0.638,0.867,0.867,0,0.365,0.365,0.543,0.396,0.396,0.437,0.67
1,0.0733,0.23,0.679,0.249,0.6,0.6,0,0.194,0.194,0.296,0.279,0.279,0.299,0.625
1,0.0467,0.0947,0.66,0.124,0.438,0.438,0,0.103,0.103,0.123,0.135,0.135,0.138,0.609
1,0.0467,0.0461,0.623,0.0743,0.438,0.438,0,0.0798,0.0798,0.0741,0.0631,0.0631,0.069,0.594
1,0.0267,0.023,0.604,0.0495,0.438,0.438,0,0.0456,0.0456,0.0494,0.045,0.045,0.046,0.579
1,0.0267,0.0179,0.585,0.0495,0.438,0.438,0,0.0456,0.0456,0.0247,0.027,0.027,0.0575,0.564
1,0.0467,0.0282,0.604,0.0548,0.438,0.438,0,0.0798,0.0798,0.0494,0.027,0.027,0.115,0.549
1,0.0733,0.0461,0.623,0.15,0.352,0.352,0,0.125,0.125,0.0741,0.0901,0.0901,0.391,0.549
1,0.167,0.0742,0.698,0.351,0.333,0.333,0,0.251,0.251,0.198,0.18,0.18,0.897,0.579
0.869,0.28,0.102,0.792,0.444,0.324,0.324,0,0.559,0.559,0.395,0.279,0.279,1,0.609
0.41,0.307,0.125,0.811,0.47,0.314,0.314,0,0.832,0.832,0.593,0.523,0.523,0.92,0.625
0.246,0.32,0.148,0.811,0.481,0.267,0.267,0,0.98,0.98,0.84,0.586,0.586,0.77,0.625
0.246,0.28,0.166,0.811,0.468,0.21,0.21,0,0.958,0.958,0.963,0.505,0.505,0.644,0.609
0.246,0.333,0.184,0.83,0.449,0.143,0.143,0,0.855,0.855,1,0.432,0.432,0.54,0.609
0.246,0.38,0.194,0.849,0.436,0.114,0.114,0,0.764,0.764,0.914,0.369,0.369,0.46,0.64
0.246,0.307,0.22,0.849,0.432,0.105,0.105,0,0.684,0.684,0.827,0.414,0.414,0.402,0.64
0.246,0.38,0.233,0.83,0.435,0.105,0.105,0,0.559,0.559,0.704,0.324,0.324,0.379,0.64
0.246,0.293,0.261,0.868,0.458,0.114,0.114,0,0.593,0.593,0.753,0.342,0.342,0.356,0.625
0.295,0.613,0.325,0.906,0.526,0.181,0.181,0,0.57,0.57,0.679,0.342,0.342,0.448,0.67
0.541,1,0.399,0.981,0.674,0.352,0.352,0,0.559,0.559,0.667,0.441,0.441,0.586,0.731
0.885,0.78,0.537,1,0.868,0.467,0.467,0,0.559,0.559,0.63,0.784,0.784,0.69,0.762
0.885,0.4,0.752,0.943,0.98,0.619,0.619,0,0.559,0.559,0.63,1,1,0.69,0.731
0.885,0.233,0.929,0.887,0.913,0.867,0.867,0,0.559,0.559,0.642,0.811,0.811,0.632,0.716
1,0.167,0.88,0.849,0.727,1,1,0,0.536,0.536,0.667,0.604,0.604,0.552,0.701
1,0.107,0.532,0.755,0.638,0.867,0.867,0,0.365,0.365,0.543,0.396,0.396,0.437,0.67
1,0.0733,0.23,0.679,0.249,0.6,0.6,0,0.194,0.194,0.296,0.279,0.279,0.299,0.625
1,0.0467,0.0947,0.66,0.124,0.438,0.438,0,0.103,0.103,0.123,0.135,0.135,0.138,0.609
1,0.0467,0.0461,0.623,0.0743,0.438,0.438,0,0.0798,0.0798,0.0741,0.0631,0.0631,0.069,0.594
1,0.0267,0.023,0.604,0.0495,0.438,0.438,0,0.0456,0.0456,0.0494,0.045,0.045,0.046,0.579
1,0.0267,0.0179,0.585,0.0495,0.438,0.438,0,0.0456,0.0456,0.0247,0.027,0.027,0.0575,0.564
1,0.0467,0.0282,0.604,0.0548,0.438,0.438,0,0.0798,0.0798,0.0494,0.027,0.027,0.115,0.549
1,0.0733,0.0461,0.623,0.15,0.352,0.352,0,0.125,0.125,0.0741,0.0901,0.0901,0.391,0.549
1,0.167,0.0742,0.698,0.351,0.333,0.333,0,0.251,0.251,0.198,0.18,0.18,0.897,0.579
0.869,0.28,0.102,0.792,0.444,0.324,0.324,0,0.559,0.559,0.395,0.279,0.279,1,0.609
0.41,0.307,0.125,0.811,0.47,0.314,0.314,0,0.832,0.832,0.593,0.523,0.523,0.92,0.625
0.246,0.32,0.148,0.811,0.481,0.267,0.267,0,0.98,0.98,0.84,0.586,0.586,0.77,0.625
0.246,0.28,0.166,0.811,0.468,0.21,0.21,0,0.958,0.958,0.963,0.505,0.505,0.644,0.609
0.246,0.333,0.184,0.83,0.449,0.143,0.143,0,0.855,0.855,1,0.432,0.432,0.54,0.609
0.246,0.38,0.194,0.849,0.436,0.114,0.114,0,0.764,0.764,0.914,0.369,0.369,0.46,0.64
0.246,0.307,0.22,0.849,0.432,0.105,0.105,0,0.684,0.684,0.827,0.414,0.414,0.402,0.64
0.246,0.38,0.233,0.83,0.435,0.105,0.105,0,0.559,0.559,0.704,0.324,0.324,0.379,0.64
0.246,0.293,0.261,0.868,0.458,0.114,0.114,0,0.593,0.593,0.753,0.342,0.342,0.356,0.625
0.295,0.613,0.325,0.906,0.526,0.181,0.181,0,0.57,0.57,0.679,0.342,0.342,0.448,0.67
0.541,1,0.399,0.981,0.674,0.352,0.352,0,0.559,0.559,0.667,0.441,0.441,0.586,0.731
0.885,0.78,0.537,1,0.868,0.467,0.467,0,0.559,0.559,0.63,0.784,0.784,0.69,0.762
0.885,0.4,0.752,0.943,0.98,0.619,0.619,0,0.559,0.559,0.63,1,1,0.69,0.731
0.885,0.233,0.929,0.887,0.913,0.867,0.867,0,0.559,0.559,0.642,0.811,0.811,0.632,0.716
1,0.167,0.88,0.849,0.727,1,1,0,0.536,0.536,0.667,0.604,0.604,0.552,0.701
1,0.107,0.532,0.755,0.638,0.867,0.867,0,0.365,0.365,0.543,0.396,0.396,0.437,0.67
1,0.0733,0.23,0.679,0.249,0.6,0.6,0,0.194,0.194,0.296,0.279,0.279,0.299,0.625
1,0.0422,0.0806,0.522,0.124,0.346,0.346,0,0.105,0.105,0.123,0.122,0.122,0.138,0.791
1,0.0422,0.0392,0.492,0.0743,0.346,0.346,0,0.0814,0.0814,0.0741,0.057,0.057,0.069,0.771
1,0.0241,0.0196,0.477,0.0495,0.346,0.346,0,0.0465,0.0465,0.0494,0.0407,0.0407,0.046,0.752
1,0.0241,0.0152,0.462,0.0495,0.346,0.346,0,0.0465,0.0465,0.0247,0.0244,0.0244,0.0575,0.732
1,0.0422,0.024,0.477,0.054,0.346,0.346,0,0.0814,0.0814,0.0494,0.0244,0.0244,0.115,0.712
1,0.0662,0.0392,0.492,0.146,0.278,0.278,0,0.128,0.128,0.0741,0.0814,0.0814,0.391,0.712
1,0.151,0.0632,0.551,0.342,0.263,0.263,0,0.256,0.256,0.198,0.163,0.163,0.897,0.752
0.869,0.253,0.0871,0.626,0.433,0.256,0.256,0,0.57,0.57,0.395,0.252,0.252,1,0.791
0.41,0.277,0.107,0.641,0.452,0.248,0.248,0,0.849,0.849,0.593,0.472,0.472,0.92,0.811
0.246,0.289,0.126,0.641,0.456,0.211,0.211,0,1,1,0.84,0.529,0.529,0.77,0.811
0.246,0.253,0.142,0.641,0.443,0.166,0.166,0,0.977,0.977,0.963,0.456,0.456,0.644,0.791
0.246,0.301,0.157,0.656,0.426,0.113,0.113,0,0.872,0.872,1,0.391,0.391,0.54,0.791
0.246,0.343,0.166,0.671,0.413,0.0903,0.0903,0,0.779,0.779,0.914,0.334,0.334,0.46,0.831
