occupants,cooking_range,plug_loads_tv,plug_loads_other,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,hot_water_clothes_washer,clothes_washer,clothes_dryer,hot_water_dishwasher,dishwasher,hot_water_fixtures,refrigerator
1,0.0467,0.0954,0.656,0.124,0.435,0.435,0,0.104,0.104,0.123,0.135,0.135,0.138,0.611
1,0.0467,0.0464,0.618,0.0743,0.435,0.435,0,0.0805,0.0805,0.0741,0.0631,0.0631,0.069,0.596
1,0.0267,0.0232,0.599,0.0495,0.435,0.435,0,0.046,0.046,0.0494,0.045,0.045,0.046,0.58
1,0.0267,0.018,0.581,0.0495,0.435,0.435,0,0.046,0.046,0.0247,0.027,0.027,0.0575,0.565
1,0.0467,0.0284,0.599,0.055,0.435,0.435,0,0.0805,0.0805,0.0494,0.027,0.027,0.115,0.55
1,0.0733,0.0464,0.618,0.151,0.35,0.35,0,0.127,0.127,0.0741,0.0901,0.0901,0.391,0.55
1,0.167,0.0747,0.693,0.355,0.331,0.331,0,0.253,0.253,0.198,0.18,0.18,0.897,0.58
0.869,0.28,0.103,0.787,0.449,0.321,0.321,0,0.564,0.564,0.395,0.279,0.279,1,0.611
0.41,0.307,0.126,0.806,0.477,0.312,0.312,0,0.84,0.84,0.593,0.523,0.523,0.92,0.626
0.246,0.32,0.149,0.806,0.49,0.265,0.265,0,0.989,0.989,0.84,0.586,0.586,0.77,0.626
0.246,0.28,0.168,0.806,0.477,0.208,0.208,0,0.966,0.966,0.963,0.505,0.505,0.644,0.611
0.246,0.333,0.186,0.824,0.458,0.142,0.142,0,0.863,0.863,1,0.432,0.432,0.54,0.611
0.246,0.38,0.196,0.843,0.445,0.113,0.113,0,0.771,0.771,0.914,0.369,0.369,0.46,0.641
0.246,0.307,0.222,0.843,0.441,0.104,0.104,0,0.69,0.69,0.827,0.414,0.414,0.402,0.641
0.246,0.38,0.235,0.824,0.448,0.104,0.104,0,0.564,0.564,0.704,0.324,0.324,0.379,0.641
0.246,0.293,0.263,0.862,0.49,0.113,0.113,0,0.598,0.598,0.753,0.342,0.342,0.356,0.626
0.295,0.613,0.327,0.899,0.602,0.18,0.18,0.0282,0.575,0.575,0.679,0.342,0.342,0.448,0.672
0.541,1,0.402,0.974,0.798,0.35,0.35,0.345,0.564,0.564,0.667,0.441,0.441,0.586,0.733
0.885,0.78,0.541,0.993,0.979,0.463,0.463,0.592,0.564,0.564,0.63,0.784,0.784,0.69,0.764
0.885,0.4,0.758,0.937,0.991,0.615,0.615,0.683,0.564,0.564,0.63,1,1,0.69,0.733
0.885,0.233,0.936,0.88,0.823,0.86,0.86,1,0.564,0.564,0.642,0.811,0.811,0.632,0.718
1,0.167,0.887,0.843,0.621,0.993,0.993,0.676,0.541,0.541,0.667,0.604,0.604,0.552,0.703
1,0.107,0.536,0.749,0.536,0.86,0.86,0.13,0.368,0.368,0.543,0.396,0.396,0.437,0.672
1,0.0733,0.232,0.674,0.249,0.596,0.596,0.0669,0.196,0.196,0.296,0.279,0.279,0.299,0.626
1,0.0467,0.0954,0.656,0.124,0.435,0.435,0,0.104,0.104,0.123,0.135,0.135,0.138,0.611
1,0.0467,0.0464,0.618,0.0743,0.435,0.435,0,0.0805,0.0805,0.0741,0.0631,0.0631,0.069,0.596
1,0.0267,0.0232,0.599,0.0495,0.435,0.435,0,0.046,0.046,0.0494,0.045,0.045,0.046,0.58
1,0.0267,0.018,0.581,0.0495,0.435,0.435,0,0.046,0.046,0.0247,0.027,0.027,0.0575,0.565
1,0.0467,0.0284,0.599,0.055,0.435,0.435,0,0.0805,0.0805,0.0494,0.027,0.027,0.115,0.55
1,0.0733,0.0464,0.618,0.151,0.35,0.35,0,0.127,0.127,0.0741,0.0901,0.0901,0.391,0.55
1,0.167,0.0747,0.693,0.355,0.331,0.331,0,0.253,0.253,0.198,0.18,0.18,0.897,0.58
0.869,0.28,0.103,0.787,0.449,0.321,0.321,0,0.564,0.564,0.395,0.279,0.279,1,0.611
0.41,0.307,0.126,0.806,0.477,0.312,0.312,0,0.84,0.84,0.593,0.523,0.523,0.92,0.626
0.246,0.32,0.149,0.806,0.49,0.265,0.265,0,0.989,0.989,0.84,0.586,0.586,0.77,0.626
0.246,0.28,0.168,0.806,0.477,0.208,0.208,0,0.966,0.966,0.963,0.505,0.505,0.644,0.611
