occupants,cooking_range,plug_loads_tv,plug_loads_other,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,hot_water_clothes_washer,clothes_washer,clothes_dryer,hot_water_dishwasher,dishwasher,hot_water_fixtures,refrigerator,ceiling_fan,outage,heating_season,cooling_season,natural_ventilation,water_heater_setpoint
1,0,0.0954,0.465,0.0495,0.559,0.559,0,0,0,0,0,0,0,0.611,0.258,0,1,1,1,125
1,0,0.0464,0.465,0.0495,0.517,0.517,0,0,0,0,0,0,0,0.596,0.258,0,1,1,1,125
1,0,0.0232,0.465,0.0495,0.517,0.517,0,0,0,0,0,0,0,0.58,0.258,0,1,1,1,125
1,0,0.018,0.465,0.0495,0.503,0.503,0,0,0,0,0,0,0,0.565,0.258,0,1,1,1,125
1,0.467,0.0284,0.465,0.0495,0.461,0.461,0,0,0,0,0,0,0,0.55,0.258,0,1,1,1,125
1,0.3,0.0464,0.516,0.0833,0.503,0.503,0,0,0,0,0,0,0.106,0.55,0.34,0,1,1,1,125
1,0,0.0747,0.617,0.253,0.601,0.601,0,0,0,0,0,0,0,0.58,0.487,0,1,1,1,125
0.667,0,0.103,0.68,0.316,0.657,0.657,0,0,0,0,0,0,0,0.611,0.524,0,1,1,1,125
0.333,0,0.126,0.579,0.192,0.475,0.475,0,0,0,0,0,0,0,0.626,0.33,0,1,1,1,125
0.333,0,0.149,0.579,0.196,0.322,0.322,0,0,0,0,0,0,0.128,0.626,0.279,0,1,1,1,125
0.333,0,0.168,0.579,0.192,0.336,0.336,0,0,0,0,0,0,0.0428,0.611,0.284,0,1,1,1,125
0.333,0,0.186,0.585,0.186,0.35,0.35,0,0,0,0,0,0,0.0857,0.611,0.288,0,1,1,1,125
0.333,0,0.196,0.591,0.181,0.336,0.336,0,0,0,0,0.516,0.8,0.171,0.641,0.284,0,1,1,1,125
0,0,0.222,0.465,0.0495,0.392,0.392,0,0,0,0,0,0,0.171,0.641,0.258,0,1,1,1,125
0,0,0.235,0.465,0.0495,0.433,0.433,0,0,0,0,0,0,0.128,0.641,0.258,0,1,1,1,125
0.333,0.217,0.263,0.597,0.196,0.447,0.447,0,0,0,0,0,0,0.0857,0.626,0.321,0,1,1,1,125
0.667,0.55,0.327,0.755,0.418,0.545,0.545,0.0288,0,0,0,0,0,0.0428,0.672,0.449,0,1,1,1,125
1,0,0.402,0.974,0.798,0.741,0.741,0.346,0,0,0,0.234,0.167,0,0.733,0.741,0,1,1,1,125
1,0,0.541,0.993,0.979,0.881,0.881,0.593,0,0,0,0.572,0.633,0.128,0.764,0.881,0,1,1,1,125
1,0,0.758,0.937,0.991,0.937,0.937,0.683,0,0,0,0.548,0.667,0.257,0.733,0.937,0,1,1,1,125
1,0,0.936,0.88,0.823,0.993,0.993,1,0,0,0,0.503,0.133,0,0.718,0.993,0,1,1,1,125
1,0,0.887,0.843,0.621,0.965,0.965,0.679,0,0,0,0.277,0,0.175,0.703,0.965,0,1,1,1,125
1,0,0.536,0.655,0.374,0.825,0.825,0.132,0,0,0,0,0,0.205,0.672,0.636,0,1,1,1,125
1,0,0.232,0.535,0.116,0.699,0.699,0.0658,0,0,0,0,0,0,0.626,0.405,0,1,1,1,125
1,0,0.0954,0.465,0.0495,0.559,0.559,0,0,0,0,0,0,0.0428,0.611,0.258,0,1,1,0,125
1,0,0.0464,0.465,0.0495,0.517,0.517,0,0,0,0,0,0,0,0.596,0.258,0,1,1,0,125
1,0,0.0232,0.51,0.0495,0.517,0.517,0,0,0,0,0,0,0,0.58,0.344,0,1,1,0,125
1,0,0.018,0.504,0.0495,0.503,0.503,0,0,0,0,0,0,0,0.565,0.34,0,1,1,0,125
1,0,0.0284,0.465,0.0495,0.461,0.461,0,0,0,0,0,0,0.285,0.55,0.258,0,1,1,0,125
1,0,0.0464,0.516,0.0833,0.503,0.503,0,0,0,0,0,0,0.231,0.55,0.34,0,1,1,0,125
1,0,0.0747,0.617,0.253,0.601,0.601,0,0,0,0,0,0,0.0546,0.58,0.487,0,1,1,0,125
0.333,0,0.103,0.465,0.0495,0.657,0.657,0,0,0,0,0,0,0.403,0.611,0.258,0,1,1,0,125
0.333,0,0.126,0.579,0.192,0.475,0.475,0,0,0,0,0.601,0.667,0.0428,0.626,0.33,0,1,1,0,125
0.333,0,0.149,0.579,0.196,0.322,0.322,0,0,0,0,0.146,0.133,0.128,0.626,0.279,0,1,1,0,125
0,0,0.168,0.465,0.0495,0.336,0.336,0,0,0,0,0,0,0,0.611,0.258,0,1,1,0,125
0,0,0.186,0.465,0.0495,0.35,0.35,0,0,0,0,0,0,0.171,0.611,0.258,0,1,1,0,125
0,0.25,0.196,0.465,0.0495,0.336,0.336,0,0,0,0,0,0,0,0.641,0.258,0,1,1,0,125
0.333,0,0.222,0.591,0.18,0.392,0.392,0,0,0,0,0,0,0,0.641,0.302,0,1,1,0,125
0.333,0,0.235,0.585,0.182,0.433,0.433,0,0,0,0,0,0,0,0.641,0.316,0,1,1,0,125
0.333,0,0.263,0.597,0.196,0.447,0.447,0,0,0,0,0,0,0,0.626,0.321,0,1,1,0,125
0.333,0,0.327,0.61,0.234,0.545,0.545,0.0288,0,0,0,0,0,0.453,0.672,0.354,0,1,1,0,125
1,0.717,0.402,0.974,0.798,0.741,0.741,0.346,0,0,0,0,0,0.357,0.733,0.741,0,1,1,0,125
1,0.05,0.541,0.993,0.979,0.881,0.881,0.593,0,0,0,0,0,0.109,0.764,0.881,0,1,1,0,125
1,0,0.758,0.937,0.991,0.937,0.937,0.683,0,0,0,0,0,0.128,0.733,0.937,0,1,1,0,125
1,0,0.936,0.88,0.823,0.993,0.993,1,0,0,0,0,0,0,0.718,0.993,0,1,1,0,125
1,0,0.887,0.591,0.24,0.965,0.965,0.679,0,0,0,0,0,0.128,0.703,0.493,0,1,1,0,125
1,0,0.536,0.465,0.0495,0.825,0.825,0.132,0,0,0,0,0,0.0857,0.672,0.258,0,1,1,0,125
1,0,0.232,0.465,0.0495,0.699,0.699,0.0658,0,0,0,0,0,0,0.626,0.258,0,1,1,0,125
1,0,0.0954,0.465,0.0495,0.559,0.559,0,0,0,0,0,0,0,0.611,0.258,0,1,1,1,125
1,0,0.0464,0.465,0.0495,0.517,0.517,0,0,0,0,0,0,0,0.596,0.258,0,1,1,1,125
1,0,0.0232,0.465,0.0495,0.517,0.517,0,0,0,0,0,0,0,0.58,0.258,0,1,1,1,125
1,0,0.018,0.465,0.0495,0.503,0.503,0,0,0,0,0,0,0.135,0.565,0.258,0,1,1,1,125
1,0,0.0284,0.51,0.0513,0.461,0.461,0,0,0,0,0,0,0.104,0.55,0.326,0,1,1,1,125
1,0,0.0464,0.516,0.0833,0.503,0.503,0,0,0,0,0,0,0.0889,0.55,0.34,0,1,1,1,125
1,0.467,0.0747,0.617,0.253,0.601,0.601,0,0,0,0,0,0,0.168,0.58,0.487,0,1,1,1,125
1,0.567,0.103,0.787,0.449,0.657,0.657,0,0,0,0,0,0,0.0915,0.611,0.657,0,1,1,1,125
1,0,0.126,0.806,0.477,0.475,0.475,0,0,0,0,0,0,0.251,0.626,0.475,0,1,1,1,125
1,0,0.149,0.806,0.49,0.322,0.322,0,0,0,0,0,0,0.225,0.626,0.322,0,1,1,1,125
0.333,0,0.168,0.579,0.192,0.336,0.336,0,0,0,0,0,0,0.0603,0.611,0.284,0,1,1,1,125
0.333,0,0.186,0.585,0.186,0.35,0.35,0,0,0,0,0,0,0.467,0.611,0.288,0,1,1,1,125
0.333,0,0.196,0.591,0.181,0.336,0.336,0,0,0,0,0,0,0.491,0.641,0.284,0,1,1,1,125
0.333,0,0.222,0.591,0.18,0.392,0.392,0,0,0,0,0,0,0.0428,0.641,0.302,0,1,1,1,125
0.333,0,0.235,0.585,0.182,0.433,0.433,0,0,0,0,0,0,0,0.641,0.316,0,1,1,1,125
0.333,0.717,0.263,0.597,0.196,0.447,0.447,0,0,0,0,0,0,0.0857,0.626,0.321,0,1,1,1,125
1,0.833,0.327,0.899,0.602,0.545,0.545,0.0288,0,0,0,0,0,0.171,0.672,0.545,0,1,1,1,125
1,0,0.402,0.974,0.798,0.741,0.741,0.346,0,0,0,0,0,0.0857,0.733,0.741,0,1,1,1,125
0.667,0.25,0.541,0.817,0.669,0.881,0.881,0.593,0,0,0,0,0,0.165,0.764,0.673,0,1,1,1,125
1,0,0.758,0.937,0.991,0.937,0.937,0.683,0,0,0,0,0,0.43,0.733,0.937,0,1,1,1,125
1,0,0.936,0.88,0.823,0.993,0.993,1,0,0,0,0,0,0.348,0.718,0.993,0,1,1,1,125
1,0,0.887,0.843,0.621,0.965,0.965,0.679,0,0,0,0,0,0,0.703,0.965,0,1,1,1,125
1,0,0.536,0.655,0.374,0.825,0.825,0.132,0,0,0,0,0,0.102,0.672,0.636,0,1,1,1,125
1,0,0.232,0.605,0.183,0.699,0.699,0.0658,0,0,0,0,0,0.207,0.626,0.552,0,1,1,1,125
1,0,0.0954,0.465,0.0495,0.559,0.559,0,0,0,0,0,0,0,0.611,0.258,0,1,1,0,125
1,0,0.0464,0.465,0.0495,0.517,0.517,0,0,0,0,0,0,0,0.596,0.258,0,1,1,0,125
1,0,0.0232,0.465,0.0495,0.517,0.517,0,0,0,0,0,0,0,0.58,0.258,0,1,1,0,125
1,0.217,0.018,0.465,0.0495,0.503,0.503,0,0,0,0,0,0,0.0851,0.565,0.258,0,1,1,0,125
1,0.55,0.0284,0.51,0.0513,0.461,0.461,0,0,0,0,0,0,0,0.55,0.326,0,1,1,0,125
1,0,0.0464,0.465,0.0495,0.503,0.503,0,0,0,0,0,0,0,0.55,0.258,0,1,1,0,125
1,0,0.0747,0.465,0.0495,0.601,0.601,0,0,0,0,0,0,0.206,0.58,0.258,0,1,1,0,125
1,0,0.103,0.572,0.183,0.657,0.657,0,0,0,0,0,0,0.167,0.611,0.391,0,1,1,0,125
0.667,0,0.126,0.579,0.192,0.475,0.475,0,0,0,0,0,0,0,0.626,0.33,0,1,1,0,125
0.333,0,0.149,0.465,0.0495,0.322,0.322,0,0,0,0,0,0,0,0.626,0.258,0,1,1,0,125
0.333,0,0.168,0.465,0.0495,0.336,0.336,0,0,0,0,0,0,0.257,0.611,0.258,0,1,1,0,125
0.333,0,0.186,0.465,0.0495,0.35,0.35,0,0,0,0,0,0,0,0.611,0.258,0,1,1,0,125
0.333,0,0.196,0.591,0.181,0.336,0.336,0,0,0,0,0,0,0,0.641,0.284,0,1,1,0,125
0.333,0,0.222,0.591,0.18,0.392,0.392,0,0,0,0,0,0,0,0.641,0.302,0,1,1,0,125
0.333,0,0.235,0.585,0.182,0.433,0.433,0,0,0,0,0,0,0,0.641,0.316,0,1,1,0,125
0.333,0.217,0.263,0.597,0.196,0.447,0.447,0,0,0,0,0,0,0.214,0.626,0.321,0,1,1,0,125
0.667,1,0.327,0.755,0.418,0.545,0.545,0.0288,0,0,0,0,0,0,0.672,0.449,0,1,1,0,125
1,0.333,0.402,0.974,0.798,0.741,0.741,0.346,0,0,0,0,0,0.0857,0.733,0.741,0,1,1,0,125
1,0,0.541,0.993,0.979,0.881,0.881,0.593,0,0,0,0,0,0.214,0.764,0.881,0,1,1,0,125
0.667,0,0.758,0.78,0.677,0.937,0.937,0.683,0,0,0,0,0,0.0428,0.733,0.711,0,1,1,0,125
1,0,0.936,0.88,0.823,0.993,0.993,1,0,0,0,0,0,0.352,0.718,0.993,0,1,1,0,125
1,0,0.887,0.843,0.621,0.965,0.965,0.679,0,0,0,0,0,0.462,0.703,0.965,0,1,1,0,125
1,0,0.536,0.56,0.212,0.825,0.825,0.132,0,0,0,0,0,0.0428,0.672,0.447,0,1,1,0,125
1,0,0.232,0.465,0.0495,0.699,0.699,0.0658,0,0,0,0,0,0,0.626,0.258,0,1,1,0,125
1,0,0.0954,0.465,0.0495,0.559,0.559,0,0,0,0,0,0,0,0.611,0.258,0,1,1,1,125
1,0,0.0464,0.465,0.0495,0.517,0.517,0,0,0,0,0,0,0,0.596,0.258,0,1,1,1,125
1,0,0.0232,0.465,0.0495,0.517,0.517,0,0,0,0,0,0,0,0.58,0.258,0,1,1,1,125
1,0,0.018,0.465,0.0495,0.503,0.503,0,0,0,0,0,0,0.202,0.565,0.258,0,1,1,1,125
1,0.217,0.0284,0.51,0.0513,0.461,0.461,0,0,0,0,0,0,0.0995,0.55,0.326,0,1,1,1,125
0.667,0.0333,0.0464,0.516,0.0833,0.503,0.503,0,0,0,0,0,0,0.0882,0.55,0.34,0,1,1,1,125
1,0.217,0.0747,0.617,0.253,0.601,0.601,0,0,0,0,0,0,0.193,0.58,0.487,0,1,1,1,125
1,0.817,0.103,0.68,0.316,0.657,0.657,0,0,0,0,0,0,0.113,0.611,0.524,0,1,1,1,125
1,0,0.126,0.692,0.334,0.475,0.475,0,0,0,0,0.648,0.917,0.156,0.626,0.403,0,1,1,1,125
1,0,0.149,0.806,0.49,0.322,0.322,0,0,0,0,0.0535,0.15,0.386,0.626,0.322,0,1,1,1,125
1,0,0.168,0.806,0.477,0.336,0.336,0,0,0,0,0,0,0.347,0.611,0.336,0,1,1,1,125
1,0,0.186,0.824,0.458,0.35,0.35,0,0,0,0,0,0,0.544,0.611,0.35,0,1,1,1,125
1,0,0.196,0.843,0.445,0.336,0.336,0,0,0,0,0,0,0,0.641,0.336,0,1,1,1,125
0.333,0,0.222,0.591,0.18,0.392,0.392,0,0,0,0,0,0,0,0.641,0.302,0,1,1,1,125
0.333,0,0.235,0.585,0.182,0.433,0.433,0,0,0,0,0,0,0,0.641,0.316,0,1,1,1,125
0.333,0,0.263,0.597,0.196,0.447,0.447,0,0,0,0,0.608,0.667,0.0428,0.626,0.321,0,1,1,1,125
0.667,0.467,0.327,0.755,0.418,0.545,0.545,0.0288,0,0,0,0.358,0.133,0.257,0.672,0.449,0,1,1,1,125
0.667,0.3,0.402,0.805,0.548,0.741,0.741,0.346,0,0,0,0.39,0.417,0.128,0.733,0.58,0,1,1,1,125
1,0,0.541,0.993,0.979,0.881,0.881,0.593,0,0,0,0.166,0.65,0.315,0.764,0.881,0,1,1,1,125
0.667,0,0.758,0.622,0.363,0.937,0.937,0.683,0,0,0,0.494,0.667,0.128,0.733,0.484,0,1,1,1,125
1,0,0.936,0.742,0.565,0.993,0.993,1,0,0,0,0.229,0.133,0.0428,0.718,0.748,0,1,1,1,125
