occupants,plug_loads_other,plug_loads_tv,lighting_interior,lighting_garage,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,electric_vehicle
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.591,0.0222,0.0695,0.0695,0,0,0,0,0,0.567,0,1
0.978,0.653,0.0436,0.182,0.182,0,0,0,0,0,0.717,0.193,1
0.667,0.707,0.0675,0.292,0.292,0,0,0,0,0,0,0.271,1
0.478,0.682,0.0635,0.249,0.249,0,0,0,0,0,0,0.0451,-0.567
0.333,0.651,0.0585,0.197,0.197,0,0,0,0,0,0,0.18,-0.533
0.333,0.651,0.0654,0.196,0.196,0,0,0,0,0,0,0.18,0
0.333,0.651,0.0716,0.191,0.191,0,0,0,0,0,0,0.271,0
0.333,0.651,0.0762,0.186,0.186,0,0,0,0,0,0,0.271,0
0.144,0.602,0.0429,0.108,0.108,0.588,0.267,0,0,0,0,0,0
0,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,-0.15
0.211,0.628,0.0697,0.144,0.144,0,0,0,0,0,0,0.0451,-0.933
0.772,0.822,0.244,0.449,0.449,0,0,0,0,0,0.317,0,1
1,0.954,0.379,0.722,0.722,0,0,0,0,0,0.967,0.226,1
1,0.99,0.493,0.912,0.912,0.103,0.0667,0,0,0,0,0.316,1
1,0.988,0.681,0.998,0.998,0.44,0.467,0,0,0,0,0.0451,1
1,0.957,0.88,0.907,0.907,0.487,0.533,0,0,0,0,0.0451,1
1,0.889,0.911,0.704,0.704,0.475,0,0,0,0,0,0,1
1,0.728,0.464,0.393,0.393,0.482,0,0,0,0,0,0.141,1
1,0.623,0.13,0.155,0.155,0,0,0,0,0,0,0.147,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.568,0.017,0.0507,0.0507,0,0,0,0,0,0,0,1
1,0.612,0.0222,0.0537,0.0537,0,0,0,0,0,0,0.0902,1
1,0.597,0.0175,0.0501,0.0501,0,0,0,0,0,0,0.18,1
1,0.58,0.0176,0.0507,0.0507,0,0,0,0,0,0,0.225,1
1,0.612,0.024,0.0703,0.0703,0,0,0,0,0,0,0.386,1
0.978,0.649,0.0422,0.175,0.175,0,0,0,0,0,0,0.173,-0.0667
0.478,0.591,0.025,0.0947,0.0947,0,0,0,0,0,0,0,-1
0.333,0.614,0.0376,0.132,0.132,0,0,0,0,0,0,0.226,-0.383
0.311,0.645,0.0554,0.187,0.187,0.461,0.533,0,0,0,0,0.0451,0
0,0.565,0.0163,0.0501,0.0501,0.14,0,0,0,0,0,0,0
0,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,0
0,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,0
0.272,0.635,0.0715,0.158,0.158,0,0,0,0,0,0.25,0.406,0
0.333,0.651,0.0891,0.184,0.184,0,0,0,0,0,0,0.316,0
0.333,0.658,0.0965,0.193,0.193,0,0,0,0,0,0,0.0902,-0.517
0.356,0.683,0.12,0.233,0.233,0,0,0,0,0,0,0.135,-0.933
0.939,0.932,0.359,0.688,0.688,0,0,0,0,0,0,0.273,1
1,0.99,0.493,0.912,0.912,0,0,0,0,0,0.25,0,1
1,0.988,0.681,0.998,0.998,0,0,0,0,0,0,0.18,1
1,0.957,0.88,0.907,0.907,0,0,0,0,0,0,0,1
1,0.746,0.495,0.42,0.42,0,0,0,0,0,0,0,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.591,0.0187,0.0512,0.0512,0,0,0,0,0,0,0.192,1
1,0.615,0.0247,0.0726,0.0726,0,0,0,0,0,0,0.347,1
1,0.673,0.0481,0.196,0.196,0,0,0,0,0,0,0.357,1
1,0.752,0.0844,0.368,0.368,0,0,0,0,0,0.317,0.347,1
1,0.814,0.119,0.47,0.47,0,0,0,0,0,0.183,0.218,1
1,0.822,0.143,0.49,0.49,0,0,0,0,0,0,0.135,1
0.539,0.704,0.0936,0.288,0.288,0,0,0,0,0,0,0.208,-0.567
0.333,0.651,0.0716,0.191,0.191,0,0,0,0,0,0,0.38,-0.267
0.333,0.651,0.0762,0.186,0.186,0,0,0,0,0,0,0.456,0
0.333,0.651,0.0828,0.183,0.183,0,0,0,0,0,0,0.467,0
0.333,0.651,0.0891,0.184,0.184,0,0,0,0,0,0,0.271,0
0.333,0.658,0.0965,0.193,0.193,0,0,0,0,0,0,0.0902,-0.65
0.878,0.859,0.276,0.506,0.506,0,0,0,0,0,0.817,0.406,-0.183
1,0.954,0.379,0.722,0.722,0,0,0,0,0,0.217,0.18,1
0.811,0.908,0.391,0.734,0.734,0,0,0,0,0,0,0,-0.117
0.939,0.961,0.648,0.94,0.94,0,0,0,0,0,0.567,0.233,-0.1
1,0.922,0.817,0.827,0.827,0,0,0,0,0,0.2,0.135,1
1,0.896,0.931,0.717,0.717,0,0,0,0,0,0,0.336,1
1,0.751,0.53,0.439,0.439,0,0,0,0,0,0,0.303,1
1,0.685,0.249,0.264,0.264,0,0,0,0,0,0,0.109,1
1,0.588,0.0483,0.0793,0.0793,0,0,0,0,0,0,0.0913,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.591,0.0187,0.0512,0.0512,0,0,0,0,0,0.25,0.486,1
1,0.585,0.0181,0.0509,0.0509,0,0,0,0,0,0,0,1
1,0.569,0.0176,0.057,0.057,0,0,0,0,0,0,0.073,1
0.978,0.656,0.0493,0.205,0.205,0,0,0,0,0,0,0.603,1
0.644,0.642,0.048,0.181,0.181,0,0,0,0,0,0,0.101,-0.0667
0.333,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,-0.95
0.333,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,0
0.333,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,0
0.333,0.614,0.0511,0.126,0.126,0,0,0,0,0,0,0,0
0.333,0.651,0.0828,0.183,0.183,0,0,0,0,0,0,0.135,0
0.333,0.651,0.0891,0.184,0.184,0,0,0,0,0,0,0.135,-0.0833
0.356,0.665,0.102,0.203,0.203,0,0,0,0,0,0,0.135,-0.933
0.772,0.822,0.244,0.449,0.449,0,0,0,0,0,0.25,0.316,1
1,0.954,0.379,0.722,0.722,0,0,0,0,0,0,0.18,1
1,0.99,0.493,0.912,0.912,0,0,0,0,0,0,0.0451,1
0.833,0.919,0.554,0.839,0.839,0,0,0,0,0,0,0.135,-0.15
1,0.957,0.88,0.907,0.907,0,0,0,0,0,0,0.496,1
1,0.896,0.931,0.717,0.717,0,0,0,0,0,0,0.242,1
1,0.712,0.447,0.342,0.342,0,0,0,0,0,0,0.105,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0163,0.0501,0.0501,0,0,0,0,0,0,0,1
0.894,0.577,0.0173,0.0506,0.0506,0,0,0,0,0,0,0.0677,-0.15
0.772,0.618,0.0265,0.0809,0.0809,0,0,0,0,0,0.317,0.327,-0.133
1,0.673,0.0481,0.196,0.196,0,0,0,0,0,0.45,0.378,1
1,0.707,0.0675,0.292,0.292,0,0,0,0,0,0.317,0.622,1
1,0.731,0.0849,0.33,0.33,0,0,0,0,0,0.45,0.265,1
1,0.807,0.136,0.464,0.464,0.693,0.267,0,0,0,0,0.22,1
1,0.822,0.164,0.489,0.489,0.271,0,0,0,0,0,0.66,1
1,0.822,0.182,0.472,0.472,0,0,0,0,0,0,0.323,1
0.956,0.811,0.188,0.439,0.439,0,0,0,0,0,0,0.257,-0.0667
0.333,0.651,0.0828,0.183,0.183,0,0,0,0,0,0,0.255,-0.633
0.333,0.651,0.0891,0.184,0.184,0,0,0,0,0,0,0.0451,0
0.333,0.658,0.0965,0.193,0.193,0,0,0,0,0,0,0.18,0
0.522,0.742,0.173,0.326,0.326,0.515,0.533,0,0,0,0,0,0
0.772,0.868,0.3,0.578,0.578,0.476,0,0,0,0,0.25,0.0902,-0.683
1,0.99,0.493,0.912,0.912,0.799,0.317,0,0,0,0,0.0902,1
0.811,0.831,0.393,0.638,0.638,0.729,0.217,0,0,0,0,0.109,-0.117
0.939,0.801,0.546,0.563,0.563,0.398,0.533,0,0,0,0,0,-0.1
1,0.729,0.457,0.386,0.386,0.201,0,0,0,0,0,0,1
1,0.649,0.246,0.227,0.227,0,0,0,0,0,0,0,1
1,0.627,0.135,0.16,0.16,0,0,0,0,0,0,0,1
1,0.603,0.0593,0.0873,0.0873,0,0,0,0,0,0,0.0902,1
1,0.601,0.0339,0.061,0.061,0,0,0,0,0,0,0,1
1,0.565,0.0186,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0186,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0186,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0186,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0186,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0186,0.0501,0.0501,0,0,0,0,0,0,0,1
0.756,0.628,0.0599,0.156,0.156,0,0,0,0,0,0,0.432,1
0.667,0.651,0.0898,0.198,0.198,0,0,0,0,0,0,0.299,1
0.667,0.714,0.175,0.301,0.301,0,0,0,0,0,0,0.151,1
0.667,0.737,0.218,0.329,0.329,0,0,0,0,0,0,0.177,1
0.589,0.717,0.209,0.288,0.288,0,0,0,0,0,0,0.231,1
0.256,0.631,0.114,0.152,0.152,0,0,0,0,0,0,0,-0.233
0.244,0.628,0.129,0.149,0.149,0,0,0,0,0,0,0.135,-0.0333
0.494,0.683,0.22,0.23,0.23,0,0,0,0,0,0.233,0.316,-0.25
0.667,0.791,0.364,0.403,0.403,0,0,0,0,0,0.0167,0.0451,1
0.828,0.897,0.466,0.642,0.642,0,0,0,0,0,0,0.0902,1
1,0.993,0.636,0.942,0.942,0,0,0,0,0,0,0.0902,1
1,0.984,0.816,1,1,0,0,0,0,0,0,0.0902,1
1,0.95,0.984,0.878,0.878,0,0,0,0,0,0,0.0902,1
1,0.81,0.74,0.542,0.542,0,0,0,0,0,0,0.18,1
1,0.707,0.421,0.356,0.356,0,0,0,0,0,0,0,1
1,0.623,0.132,0.143,0.143,0,0,0,0,0,0,0,1
1,0.613,0.065,0.0865,0.0865,0,0,0,0,0,0,0.158,1
1,0.565,0.0186,0.0501,0.0501,0,0,0,0,0,0,0.0379,1
1,0.565,0.0186,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0186,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.565,0.0186,0.0501,0.0501,0,0,0,0,0,0,0,1
1,0.576,0.02,0.0581,0.0581,0,0,0,0,0,0,0,1
0.922,0.607,0.0277,0.111,0.111,0,0,0,0,0,0,0.0451,-0.117
0.828,0.623,0.0418,0.149,0.149,0,0,0,0,0,0,0.129,-0.1
1,0.649,0.0683,0.192,0.192,0,0,0,0,0,0,0.211,1
0.678,0.694,0.128,0.272,0.272,0,0,0,0,0,0,0.209,-0.233
0.333,0.651,0.107,0.196,0.196,0,0,0,0,0,0,0.0451,-0.317
0.333,0.651,0.118,0.19,0.19,0,0,0,0,0,0,0.226,0
0.333,0.651,0.127,0.185,0.185,0,0,0,0,0,0,0,-0.0167
0.656,0.734,0.271,0.31,0.31,0,0,0,0,0,0.25,0.271,-0.517
0.839,0.781,0.382,0.387,0.387,0,0,0,0,0,0,0,1
