Option Name	Annual Energy Use [kWh/yr]	Usage Multiplier
None	0	
25%		0.25
33%		0.33
50%		0.5
75%		0.75
80%		0.8
90%		0.9
100%		1
110%		1.1
125%		1.25
150%		1.5
200%		2
300%		3
400%		4
Detailed Example: 620 kWh/yr	620	
		
"Annual Energy Use: The annual energy consumption of the televisions. If not provided, the OS-HPXML default is used."		
"Usage Multiplier: Multiplier on the energy usage that can reflect, e.g., high/low usage occupants."		
