Option Name	Pump Annual Energy Use [kWh/yr]	Pump Usage Multiplier	Heater Type	Heater Annual Electricity Use [kWh/yr]	Heater Annual Natural Gas Use [kWh/yr]	Heater Usage Multiplier
None	0			0	0	
"Unheated, 25% Usage"		0.25	not present			
"Unheated, 50% Usage"		0.5	not present			
"Unheated, 75% Usage"		0.75	not present			
"Unheated, 100% Usage"			not present			
"Unheated, 150% Usage"		1.5	not present			
"Unheated, 200% Usage"		2	not present			
"Unheated, 400% Usage"		4	not present			
"Electric Resistance Heater, 25% Usage"		0.25	electric resistance			0.25
"Electric Resistance Heater, 50% Usage"		0.5	electric resistance			0.5
"Electric Resistance Heater, 75% Usage"		0.75	electric resistance			0.75
"Electric Resistance Heater, 100% Usage"			electric resistance			
"Electric Resistance Heater, 150% Usage"		1.5	electric resistance			1.5
"Electric Resistance Heater, 200% Usage"		2	electric resistance			2
"Electric Resistance Heater, 400% Usage"		4	electric resistance			4
"Heat Pump Heater, 25% Usage"		0.25	heat pump			0.25
"Heat Pump Heater, 50% Usage"		0.5	heat pump			0.5
"Heat Pump Heater, 75% Usage"		0.75	heat pump			0.75
"Heat Pump Heater, 100% Usage"			heat pump			
"Heat Pump Heater, 150% Usage"		1.5	heat pump			1.5
"Heat Pump Heater, 200% Usage"		2	heat pump			2
"Heat Pump Heater, 400% Usage"		4	heat pump			4
"Natural Gas Heater, 25% Usage"		0.25	gas fired			0.25
"Natural Gas Heater, 50% Usage"		0.5	gas fired			0.5
"Natural Gas Heater, 75% Usage"		0.75	gas fired			0.75
"Natural Gas Heater, 100% Usage"			gas fired			
"Natural Gas Heater, 150% Usage"		1.5	gas fired			1.5
"Natural Gas Heater, 200% Usage"		2	gas fired			2
"Natural Gas Heater, 400% Usage"		4	gas fired			4
"Detailed Example: 2700 kWh/yr Pump, Unheated"	2700		not present			
"Detailed Example: 2700 kWh/yr Pump, 500 therms/yr Natural Gas Heater"	2700		gas fired		500	
						
# Pump Annual Energy Use: The annual energy consumption of the pool pump.						
"# Pump Usage Multiplier: Multiplier on the pool pump energy usage that can reflect, e.g., high/low usage occupants."						
# Heater Type: The type of pool heater.						
# Heater Annual Electricity Use: The annual electricity consumption of the pool heater.						
# Heater Annual Natural Gas Use: The annual natural gas consumption of the pool heater.						
"# Heater Usage Multiplier: Multiplier on the pool heater energy usage that can reflect, e.g., high/low usage occupants."						
