Option Name	Annual Energy Use [kWh/yr]	Usage Multiplier
None	0	
25% Usage		0.25
33% Usage		0.33
50% Usage		0.5
75% Usage		0.75
80% Usage		0.8
90% Usage		0.9
100% Usage		
110% Usage		1.1
125% Usage		1.25
150% Usage		1.5
200% Usage		2
300% Usage		3
400% Usage		4
Detailed Example: 1500 kWh/yr	1500	
Detailed Example: 3000 kWh/yr	3000	
		
# Annual Energy Use: The annual energy consumption of the EV charging.		
"# Usage Multiplier: Multiplier on the energy usage that can reflect, e.g., high/low usage occupants."		
