Option Name	Height [ft]
6.0 ft	6
6.5 ft	6.5
7.0 ft	7
7.5 ft	7.5
8.0 ft	8
8.5 ft	8.5
9.0 ft	9
9.5 ft	9.5
10.0 ft	10
10.5 ft	10.5
11.0 ft	11
11.5 ft	11.5
12.0 ft	12
12.5 ft	12.5
13.0 ft	13
13.5 ft	13.5
14.0 ft	14
14.5 ft	14.5
15.0 ft	15
	
# Height: Average distance from the floor to the ceiling.	
