Option Name	Rated Annual Consumption [kWh/yr]	Location
None		
1139 kWh/yr	1139	
748 kWh/yr	748	
650 kWh/yr	650	
574 kWh/yr	574	
547 kWh/yr	547	
480 kWh/yr	480	
458 kWh/yr	458	
434 kWh/yr	434	
384 kWh/yr	384	
348 kWh/yr	348	
"Detailed Example: 748 kWh/yr, Conditioned Basement"	748	basement - conditioned
"Detailed Example: 748 kWh/yr, Unconditioned Basement"	748	basement - unconditioned
"Detailed Example: 748 kWh/yr, Garage"	748	garage
		
Rated Annual Consumption: The EnergyGuide rated annual energy consumption for the extra refrigerator.		
Location: The space type where the extra refrigerator is located.		
