Option Name	heating_system_type	heating_system_heating_efficiency	heating_system_pilot_light	heating_system_airflow_defect_ratio
"Electric Furnace, 100% Efficiency"	Furnace	1		
"Electric Baseboard, 100% Efficiency"	ElectricResistance	1		
"Electric Boiler, 98% Efficiency"	Boiler	0.98		
"Electric Boiler, 100% Efficiency"	Boiler	1		
"Electric Wall Furnace, 100% Efficiency"	WallFurnace	1		
"Fuel Boiler, 72% AFUE"	Boiler	0.72		
"Fuel Boiler, 76% AFUE"	Boiler	0.76		
"Fuel Boiler, 80% AFUE"	Boiler	0.8		
"Fuel Boiler, 82% AFUE"	Boiler	0.82		
"Fuel Boiler, 85% AFUE"	Boiler	0.85		
"Fuel Boiler, 90% AFUE"	Boiler	0.9		
"Fuel Boiler, 92% AFUE"	Boiler	0.92		
"Fuel Boiler, 92% AFUE, 600 BTUh Pilot Light"	Boiler	0.92	600	
"Fuel Boiler, 95% AFUE"	Boiler	0.95		
"Fuel Boiler, 96% AFUE"	Boiler	0.96		
"Fuel Furnace, 60% AFUE"	Furnace	0.6		
"Fuel Furnace, 68% AFUE"	Furnace	0.68		
"Fuel Furnace, 72% AFUE"	Furnace	0.72		
"Fuel Furnace, 76% AFUE"	Furnace	0.76		
"Fuel Furnace, 78% AFUE"	Furnace	0.78		
"Fuel Furnace, 80% AFUE"	Furnace	0.8		
"Fuel Furnace, 85% AFUE"	Furnace	0.85		
"Fuel Furnace, 90% AFUE"	Furnace	0.9		
"Fuel Furnace, 92% AFUE"	Furnace	0.92		
"Fuel Furnace, 92% AFUE, Airflow Defect Ratio"	Furnace	0.92		-0.25
"Fuel Furnace, 92% AFUE, 600 BTUh Pilot Light"	Furnace	0.92	600	
"Fuel Furnace, 92.5% AFUE"	Furnace	0.925		
"Fuel Furnace, 96% AFUE"	Furnace	0.96		
"Fuel Wall Furnace, 60% AFUE"	WallFurnace	0.6		
"Fuel Wall Furnace, 68% AFUE"	WallFurnace	0.68		
"Electric Wall Furnace, 98% Efficiency"	WallFurnace	0.98		
"Electric Wall Furnace, 100% Efficiency"	WallFurnace	1		
None	none	0		
"Fuel Boiler w/ Baseboard, 78% AFUE"	Shared Boiler w/ Baseboard	0.78		
"Fuel Boiler w/ Baseboard, 92% AFUE"	Shared Boiler w/ Baseboard	0.92		
"Electric Boiler w/ Baseboard, 100% Efficiency"	Shared Boiler w/ Baseboard	1		
"Fuel Fan Coil Heating, 78% AFUE"	Shared Boiler w/ Ductless Fan Coil	0.78		
"Fuel Fan Coil Heating, 92% AFUE"	Shared Boiler w/ Ductless Fan Coil	0.92		
"Electric Fan Coil Heating, 100% Efficiency"	Shared Boiler w/ Ductless Fan Coil	1		
"Fireplace, 80% AFUE"	Fireplace	0.8		
"Stove, 80% AFUE"	Stove	0.8		
"Fuel Floor Furnace, 80% AFUE, 600 BTUh Pilot Light"	FloorFurnace	0.8	600	
"Space Heater, 100% Efficiency"	SpaceHeater	1		
