Bedrooms,Shower Max,Sink Max,ClothesWasher Max,Dishwasher Max,Bath Max,SSB Max,Shower Sum,Sink Sum,ClothesWasher Sum,Dishwasher Sum,Bath Sum,SSB Sum,On-time Fraction
1,4.7433,3.2868,4.68,2.8551,7.2874,9.199686207,19.10272055,16.68882466,3.297884932,3.008693151,4.566756164,40.35830137,0.026855594
2,4.581,3.2756,4.4924,2.6511,6.6424,7.108017507,22.81405205,20.81769863,3.600780822,3.664235616,5.94980274,49.58155342,0.03334532
3,4.079,3.2739,5.0354,2.8186,7.0312,7.402183035,26.24088767,24.29216986,4.556512329,4.402717808,7.238115068,57.7711726,0.039665144
4,4.3076,3.2699,5.0181,2.8536,7.7795,8.338373447,30.64040822,29.01383014,5.427832877,5.173021918,8.160882192,67.81512055,0.046178653
5,4.6671,3.3317,4.7587,2.8586,6.7725,7.233430448,38.98717534,32.21229589,6.333936986,5.936084932,9.739778082,80.93924931,0.05286758
