doe2code,U-value,Eff-R-value
ewbr00nn,0.304,3.3
ewbr05nn,0.121,8.3
ewbr10nn,0.075,13.3
ewcb00br,0.167,6.0
ewcb00nn,0.229,4.4
ewcb00st,0.222,4.5
ewcb03br,0.132,7.6
ewcb03nn,0.168,6.0
ewcb03st,0.164,6.1
ewcb06br,0.096,10.4
ewcb06nn,0.115,8.7
ewcb06st,0.113,8.8
ewov19al,0.054,18.5
ewov19br,0.051,19.6
ewov19st,0.055,18.2
ewov19vi,0.053,18.9
ewov19wo,0.051,19.6
ewov21al,0.050,20.0
ewov21br,0.048,20.8
ewov21st,0.051,19.6
ewov21vi,0.050,20.0
ewov21wo,0.048,20.8
ewov25al,0.043,23.5
ewov25br,0.041,24.4
ewov25st,0.043,23.0
ewov25vi,0.042,23.6
ewov25wo,0.041,24.4
ewov27al,0.040,25.0
ewov27br,0.039,25.6
ewov27st,0.041,24.4
ewov27vi,0.040,25.0
ewov27wo,0.039,25.6
ewov33al,0.033,30.3
ewov33br,0.032,31.3
ewov33st,0.034,29.4
ewov33vi,0.033,30.3
ewov33wo,0.032,31.3
ewov35al,0.031,31.9
ewov35br,0.030,33.0
ewov35st,0.032,31.5
ewov35vi,0.031,31.9
ewov35wo,0.030,33.0
ewov38al,0.029,34.5
ewov38br,0.028,35.7
ewov38st,0.029,34.5
ewov38vi,0.029,34.5
ewov38wo,0.028,35.7
ewps00al,0.109,9.2
ewps00br,0.099,10.1
ewps00st,0.116,8.6
ewps00vi,0.108,9.3
ewps00wo,0.100,10.0
ewps03al,0.086,11.6
ewps03br,0.080,12.5
ewps03st,0.089,11.2
ewps03vi,0.085,11.8
ewps03wo,0.080,12.5
ewps07al,0.069,14.5
ewps07br,0.065,15.4
ewps07st,0.071,14.1
ewps07vi,0.069,14.5
ewps07wo,0.066,15.2
ewps11al,0.061,16.4
ewps11br,0.058,17.2
ewps11st,0.063,15.9
ewps11vi,0.061,16.4
ewps11wo,0.058,17.2
ewps13al,0.058,17.2
ewps13br,0.055,18.2
ewps13st,0.059,16.9
ewps13vi,0.058,17.2
ewps13wo,0.055,18.2
ewps15al,0.055,18.2
ewps15br,0.052,19.2
ewps15st,0.056,17.9
ewps15vi,0.055,18.2
ewps15wo,0.053,18.9
ewps19al,0.046,21.7
ewps19br,0.044,22.7
ewps19st,0.047,21.3
ewps19vi,0.046,21.7
ewps19wo,0.044,22.7
ewps21al,0.044,22.7
ewps21br,0.043,23.3
ewps21st,0.045,22.2
ewps21vi,0.044,22.7
ewps21wo,0.043,23.3
ewsb00st,0.017,58.8
ewwf00al,0.242,4.1
ewwf00br,0.196,5.1
ewwf00st,0.280,3.6
ewwf00vi,0.235,4.3
ewwf00wo,0.201,5.0
ewwf03al,0.151,6.6
ewwf03br,0.132,7.6
ewwf03st,0.161,6.2
ewwf03vi,0.149,6.7
ewwf03wo,0.135,7.4
ewwf07al,0.108,9.3
ewwf07br,0.098,10.2
ewwf07st,0.113,8.8
ewwf07vi,0.107,9.3
ewwf07wo,0.099,10.1
ewwf11al,0.090,11.1
ewwf11br,0.083,12.0
ewwf11st,0.094,10.6
ewwf11vi,0.089,11.2
ewwf11wo,0.084,11.9
ewwf13al,0.084,11.9
ewwf13br,0.077,13.0
ewwf13st,0.087,11.5
ewwf13vi,0.083,12.0
ewwf13wo,0.078,12.8
ewwf15al,0.079,12.7
ewwf15br,0.073,13.7
ewwf15st,0.082,12.2
ewwf15vi,0.078,12.8
ewwf15wo,0.073,13.7
ewwf19al,0.061,16.4
ewwf19br,0.058,17.2
ewwf19st,0.063,15.9
ewwf19vi,0.061,16.4
ewwf19wo,0.058,17.2
ewwf21al,0.058,17.2
ewwf21br,0.055,18.2
ewwf21st,0.060,16.7
ewwf21vi,0.058,17.2
ewwf21wo,0.055,18.2
