doe2code,U-value,Eff-R-value
kwwf00,0.346,2.9
kwwf03,0.154,6.5
kwwf07,0.101,9.9
kwwf11,0.083,12.1
kwwf13,0.075,13.4
kwwf15,0.068,14.7
kwwf19,0.055,18.1
kwwf21,0.050,20.1
