state_code,furnace_region
AL,southern
AK,northern
AS,southern
AZ,southern
AR,southern
CA,southern
CO,northern
CT,northern
DE,southern
DC,southern
FL,southern
GA,southern
GU,southern
HI,southern
ID,northern
IL,northern
IN,northern
IA,northern
KS,northern
KY,southern
LA,southern
ME,northern
MD,southern
MA,northern
MI,northern
MN,northern
MS,southern
MO,northern
MT,northern
NE,northern
NV,southern
NH,northern
NJ,northern
NM,southern
NY,northern
NC,southern
ND,northern
OH,northern
OK,southern
OR,northern
PA,northern
PR,southern
RI,northern
SC,southern
SD,northern
TN,southern
TX,southern
UT,northern
VT,northern
VA,southern
WA,northern
WV,northern
WI,northern
WY,northern
