building_id,date,address,comments,heating_electric,heating_natural_gas,heating_lpg,heating_fuel_oil,cooling_electric,lighting_electric,large_appliance_electric,small_appliance_electric,hot_water_electric,hot_water_natural_gas,hot_water_lpg,hot_water_fuel_oil,hot_water_hot_water,generation_electric
7923,3/2/20 20:00,Regression run 7.1,Base,423,58900,0,0,2162,2055,1948,3005,0,19183,0,0,22446,0
7924,3/2/20 20:01,Regression run 7.2,Location CZ01,551,77000,0,0,984,2055,1948,3005,0,21265,0,0,23003,0
7925,3/2/20 20:02,Regression run 7.3,Location CZ02,491,68400,0,0,1621,2055,1948,3005,0,19849,0,0,22636,0
7926,3/2/20 20:03,Regression run 7.4,Location CZ03,553,77300,0,0,1670,2055,1948,3005,0,20627,0,0,22845,0
7927,3/2/20 20:04,Regression run 7.5,Location CZ05,959,133500,0,0,37,2055,1948,3005,0,25495,0,0,23891,0
7928,3/2/20 20:05,Regression run 7.6,Location CZ07,429,59400,0,0,1635,2055,1948,3005,0,19695,0,0,22592,0
7929,3/2/20 20:06,Regression run 7.7,Location CZ08,251,34700,0,0,2450,2055,1948,3005,0,17575,0,0,21940,0
7930,3/2/20 20:07,Regression run 7.8,Location CZ09,1,100,0,0,7258,2055,1948,3005,0,11381,0,0,18965,0
7931,3/2/20 20:08,Regression run 7.9,Location CZ10,422,59100,0,0,2238,2055,1948,3005,0,19065,0,0,22412,0
7932,3/2/20 20:09,Regression run 7.10,Location CZ11,306,42800,0,0,2734,2055,1948,3005,0,17810,0,0,22019,0
7933,3/2/20 20:10,Regression run 7.11,Location CZ12,247,32900,0,0,2552,2055,1948,3005,0,17773,0,0,22006,0
7934,3/2/20 20:11,Regression run 7.12,Location CZ13,104,14400,0,0,4689,2055,1948,3005,0,14631,0,0,20781,0
7935,3/2/20 20:12,Regression run 7.13,Location CZ14,437,56700,0,0,1594,2055,1948,3005,0,20281,0,0,22752,0
7936,3/2/20 20:13,Regression run 7.14,Location CZ15,501,63700,0,0,862,2055,1948,3005,0,21422,0,0,23041,0
7937,3/2/20 20:14,Regression run 7.15,Location CZ16,275,34600,0,0,1845,2055,1948,3005,0,19030,0,0,22400,0
7938,3/2/20 20:15,Regression run 7.16,Location CZ17,17,2300,0,0,7470,2055,1948,3005,0,11858,0,0,19300,0
7939,3/2/20 20:16,Regression run 7.17,Location CZ18,136,18800,0,0,2956,2055,1948,3005,0,16792,0,0,21664,0
7940,3/2/20 20:17,Regression run 7.18,Location CZ19,97,13500,0,0,70,2055,1948,3005,0,18983,0,0,22377,0
7941,3/2/20 20:18,Regression run 7.19,Location CZ20,8,1000,0,0,1349,2055,1948,3005,0,16192,0,0,21427,0
7942,3/2/20 20:19,Regression run 7.20,Townhouse mid,333,46300,0,0,1770,2055,1948,3005,0,19183,0,0,22446,0
7943,3/2/20 20:20,Regression run 7.21,Townhouse left,377,52200,0,0,1986,2055,1948,3005,0,19183,0,0,22446,0
7944,3/2/20 20:21,Regression run 7.22,Townhouse right,379,52600,0,0,1947,2055,1948,3005,0,19183,0,0,22446,0
7945,3/2/20 20:21,Regression run 7.23,Year 1700,467,64800,0,0,2205,2055,1948,3005,0,19183,0,0,22446,0
7946,3/2/20 20:22,Regression run 7.24,Year 2019,335,46500,0,0,2067,2055,1948,3005,0,19183,0,0,22446,0
7947,3/2/20 20:23,Regression run 7.25,Bedrooms 1,442,61300,0,0,2015,2055,1390,2666,0,13227,0,0,12825,0
7948,3/2/20 20:24,Regression run 7.26,Bedrooms 10,390,54200,0,0,2441,2055,3065,3521,0,31093,0,0,41687,0
7949,3/2/20 20:25,Regression run 7.27,Floors 1,439,61000,0,0,1787,2055,1948,3005,0,19183,0,0,22446,0
7950,3/2/20 20:26,Regression run 7.28,Floors 4,481,66700,0,0,2574,2055,1948,3005,0,19183,0,0,22446,0
7951,3/2/20 20:27,Regression run 7.29,Ceiling height 6,349,48300,0,0,1994,2055,1948,3005,0,19183,0,0,22446,0
7952,3/2/20 20:28,Regression run 7.30,Ceiling height 12,581,80800,0,0,2476,2055,1948,3005,0,19183,0,0,22446,0
7953,3/2/20 20:29,Regression run 7.31,Floor area 250,121,16600,0,0,1193,655,1948,1413,0,19183,0,0,22446,0
7954,3/2/20 20:30,Regression run 7.32,Floor area 25000,578,79300,0,0,10061,20455,1948,23935,0,19183,0,0,22446,0
7955,3/2/20 20:31,Regression run 7.33,Orientation north east,428,59600,0,0,2301,2055,1948,3005,0,19183,0,0,22446,0
7956,3/2/20 20:32,Regression run 7.34,Orientation east,423,58800,0,0,2334,2055,1948,3005,0,19183,0,0,22446,0
7957,3/2/20 20:33,Regression run 7.35,Orientation south east,426,59300,0,0,2317,2055,1948,3005,0,19183,0,0,22446,0
7958,3/2/20 20:34,Regression run 7.36,Orientation south,418,58000,0,0,2183,2055,1948,3005,0,19183,0,0,22446,0
7959,3/2/20 20:35,Regression run 7.37,Orientation south west,421,58400,0,0,2328,2055,1948,3005,0,19183,0,0,22446,0
7960,3/2/20 20:35,Regression run 7.38,Orientation west,417,58000,0,0,2350,2055,1948,3005,0,19183,0,0,22446,0
7961,3/2/20 20:36,Regression run 7.39,Orientation north west,426,59300,0,0,2318,2055,1948,3005,0,19183,0,0,22446,0
7962,3/2/20 20:37,Regression run 7.40,Blowerdoor 0,216,31800,0,0,1898,2055,1948,3005,0,19183,0,0,22446,0
7963,3/2/20 20:38,Regression run 7.41,Blowerdoor 25000,1482,205700,0,0,3093,2055,1948,3005,0,19183,0,0,22446,0
7964,3/2/20 20:39,Regression run 7.42,Blowerdoor 25000 sealed,1482,205700,0,0,3093,2055,1948,3005,0,19183,0,0,22446,0
