building_id,date,address,comments,building_config_id,heating_electric,heating_natural_gas,heating_lpg,heating_fuel_oil,heating_cord_wood,heating_pellet_wood,cooling_electric,lighting_electric,large_appliance_electric,small_appliance_electric,hot_water_electric,hot_water_natural_gas,hot_water_lpg,hot_water_fuel_oil,hot_water_hot_water,generation_electric
9390,9/24/20 12:20,Regression run 8.1,Base,67287,468,64900,0,0,0,0,1759,2055,1948,3005,0,19183,0,0,22446,0
9391,9/24/20 12:23,Regression run 8.2,Location CZ01,67298,602,84200,0,0,0,0,730,2055,1948,3005,0,21265,0,0,23003,0
9392,9/24/20 12:25,Regression run 8.3,Location CZ02,67309,537,74700,0,0,0,0,1231,2055,1948,3005,0,19849,0,0,22636,0
9393,9/24/20 12:28,Regression run 8.4,Location CZ03,67320,605,83800,0,0,0,0,1318,2055,1948,3005,0,20627,0,0,22845,0
9394,9/24/20 12:31,Regression run 8.5,Location CZ05,67331,1032,142600,0,0,0,0,5,2055,1948,3005,0,25495,0,0,23891,0
9395,9/24/20 12:33,Regression run 8.6,Location CZ07,67342,475,64900,0,0,0,0,1235,2055,1948,3005,0,19695,0,0,22592,0
9396,9/24/20 12:36,Regression run 8.7,Location CZ08,67353,286,39000,0,0,0,0,1931,2055,1948,3005,0,17575,0,0,21940,0
9397,9/24/20 12:39,Regression run 8.8,Location CZ09,67364,1,100,0,0,0,0,5972,2055,1948,3005,0,11381,0,0,18965,0
9398,9/24/20 12:41,Regression run 8.9,Location CZ10,67375,463,64600,0,0,0,0,1767,2055,1948,3005,0,19065,0,0,22412,0
9399,9/24/20 12:44,Regression run 8.10,Location CZ11,67386,343,47700,0,0,0,0,2231,2055,1948,3005,0,17810,0,0,22019,0
9400,9/24/20 12:46,Regression run 8.11,Location CZ12,67397,286,37200,0,0,0,0,2050,2055,1948,3005,0,17773,0,0,22006,0
9401,9/24/20 12:49,Regression run 8.12,Location CZ13,67408,122,16800,0,0,0,0,3870,2055,1948,3005,0,14631,0,0,20781,0
9402,9/24/20 12:51,Regression run 8.13,Location CZ14,67419,495,62300,0,0,0,0,1269,2055,1948,3005,0,20281,0,0,22752,0
9403,9/24/20 12:54,Regression run 8.14,Location CZ15,67430,568,69800,0,0,0,0,631,2055,1948,3005,0,21422,0,0,23041,0
9404,9/24/20 12:56,Regression run 8.15,Location CZ16,67441,325,39600,0,0,0,0,1467,2055,1948,3005,0,19030,0,0,22400,0
9405,9/24/20 12:59,Regression run 8.16,Location CZ17,67452,22,3000,0,0,0,0,6576,2055,1948,3005,0,11858,0,0,19300,0
9406,9/24/20 13:01,Regression run 8.17,Location CZ18,67463,163,22300,0,0,0,0,2480,2055,1948,3005,0,16792,0,0,21664,0
9407,9/24/20 13:04,Regression run 8.18,Location CZ19,67474,130,17900,0,0,0,0,33,2055,1948,3005,0,18983,0,0,22377,0
9408,9/24/20 13:06,Regression run 8.19,Location CZ20,67485,13,1700,0,0,0,0,801,2055,1948,3005,0,16192,0,0,21427,0
9409,9/24/20 13:09,Regression run 8.20,Townhouse mid,67496,370,51400,0,0,0,0,1439,2055,1948,3005,0,19183,0,0,22446,0
9410,9/24/20 13:11,Regression run 8.21,Townhouse left,67507,417,57700,0,0,0,0,1615,2055,1948,3005,0,19183,0,0,22446,0
9411,9/24/20 13:14,Regression run 8.22,Townhouse right,67518,420,58100,0,0,0,0,1581,2055,1948,3005,0,19183,0,0,22446,0
9412,9/24/20 13:16,Regression run 8.23,Year 1700,67529,516,71400,0,0,0,0,1785,2055,1948,3005,0,19183,0,0,22446,0
9413,9/24/20 13:19,Regression run 8.24,Year 2020,67540,372,51400,0,0,0,0,1697,2055,1948,3005,0,19183,0,0,22446,0
9414,9/24/20 13:21,Regression run 8.25,Bedrooms 1,67551,488,67500,0,0,0,0,1625,2055,1390,2666,0,13227,0,0,12825,0
