building_id,date,address,comments,building_config_id,heating_electric,heating_natural_gas,heating_lpg,heating_fuel_oil,heating_cord_wood,heating_pellet_wood,cooling_electric,lighting_electric,large_appliance_electric,small_appliance_electric,hot_water_electric,hot_water_natural_gas,hot_water_lpg,hot_water_fuel_oil,hot_water_hot_water,generation_electric
327923,6/8/2021 14:03,Regression run 9.1,Base,464239,423,58900,0,0,0,0,2162,2055,1948,3005,0,19183,0,0,22446,0
327924,6/8/2021 14:03,Regression run 9.2,Location CZ01,464240,551,77000,0,0,0,0,984,2055,1948,3005,0,21265,0,0,23003,0
327925,6/8/2021 14:03,Regression run 9.3,Location CZ02,464241,491,68400,0,0,0,0,1621,2055,1948,3005,0,19849,0,0,22636,0
327926,6/8/2021 14:04,Regression run 9.4,Location CZ03,464242,553,77300,0,0,0,0,1670,2055,1948,3005,0,20627,0,0,22845,0
327927,6/8/2021 14:04,Regression run 9.5,Location CZ05,464243,953,132600,0,0,0,0,35,2055,1948,3005,0,25495,0,0,23891,0
327928,6/8/2021 14:05,Regression run 9.6,Location CZ07,464244,429,59400,0,0,0,0,1635,2055,1948,3005,0,19695,0,0,22592,0
327929,6/8/2021 14:05,Regression run 9.7,Location CZ08,464245,251,34700,0,0,0,0,2450,2055,1948,3005,0,17575,0,0,21940,0
327930,6/8/2021 14:05,Regression run 9.8,Location CZ09,464246,1,100,0,0,0,0,7258,2055,1948,3005,0,11381,0,0,18965,0
327931,6/8/2021 14:06,Regression run 9.9,Location CZ10,464247,422,59100,0,0,0,0,2238,2055,1948,3005,0,19065,0,0,22412,0
327932,6/8/2021 14:06,Regression run 9.10,Location CZ11,464248,306,42800,0,0,0,0,2734,2055,1948,3005,0,17810,0,0,22019,0
327933,6/8/2021 14:07,Regression run 9.11,Location CZ12,464249,247,32900,0,0,0,0,2552,2055,1948,3005,0,17773,0,0,22006,0
327934,6/8/2021 14:07,Regression run 9.12,Location CZ13,464250,104,14400,0,0,0,0,4689,2055,1948,3005,0,14631,0,0,20781,0
327935,6/8/2021 14:07,Regression run 9.13,Location CZ14,464251,437,56700,0,0,0,0,1594,2055,1948,3005,0,20281,0,0,22752,0
327936,6/8/2021 14:08,Regression run 9.14,Location CZ15,464252,501,63700,0,0,0,0,862,2055,1948,3005,0,21422,0,0,23041,0
327937,6/8/2021 14:08,Regression run 9.15,Location CZ16,464253,275,34600,0,0,0,0,1845,2055,1948,3005,0,19030,0,0,22400,0
327938,6/8/2021 14:09,Regression run 9.16,Location CZ17,464254,17,2300,0,0,0,0,7470,2055,1948,3005,0,11858,0,0,19300,0
327939,6/8/2021 14:09,Regression run 9.17,Location CZ18,464255,136,18800,0,0,0,0,2956,2055,1948,3005,0,16792,0,0,21664,0
327940,6/8/2021 14:09,Regression run 9.18,Location CZ19,464256,97,13500,0,0,0,0,70,2055,1948,3005,0,18983,0,0,22377,0
327941,6/8/2021 14:10,Regression run 9.19,Location CZ20,464257,8,1000,0,0,0,0,1349,2055,1948,3005,0,16192,0,0,21427,0
327942,6/8/2021 14:10,Regression run 9.20,Townhouse mid,464258,333,46300,0,0,0,0,1770,2055,1948,3005,0,19183,0,0,22446,0
327943,6/8/2021 14:11,Regression run 9.21,Townhouse left,464259,377,52200,0,0,0,0,1986,2055,1948,3005,0,19183,0,0,22446,0
327944,6/8/2021 14:11,Regression run 9.22,Townhouse right,464260,379,52600,0,0,0,0,1947,2055,1948,3005,0,19183,0,0,22446,0
327945,6/8/2021 14:11,Regression run 9.23,Year 1700,464261,467,64800,0,0,0,0,2205,2055,1948,3005,0,19183,0,0,22446,0
327946,6/8/2021 14:12,Regression run 9.24,Year 2021,464262,335,46500,0,0,0,0,2067,2055,1948,3005,0,19183,0,0,22446,0
327947,6/8/2021 14:12,Regression run 9.25,Bedrooms 1,464263,442,61300,0,0,0,0,2015,2055,1390,2666,0,13227,0,0,12825,0
327948,6/8/2021 14:13,Regression run 9.26,Bedrooms 8,464264,399,55400,0,0,0,0,2364,2055,2693,3373,0,27123,0,0,35274,0
327949,6/8/2021 14:13,Regression run 9.27,Floors 1,464265,481,66900,0,0,0,0,1891,2055,1948,3005,0,19183,0,0,22446,0
327950,6/8/2021 14:13,Regression run 9.28,Floors 4,464266,459,63800,0,0,0,0,2547,2055,1948,3005,0,19183,0,0,22446,0
327951,6/8/2021 14:14,Regression run 9.29,Ceiling height 6,464267,349,48300,0,0,0,0,1994,2055,1948,3005,0,19183,0,0,22446,0
327952,6/8/2021 14:14,Regression run 9.30,Ceiling height 12,464268,581,80800,0,0,0,0,2476,2055,1948,3005,0,19183,0,0,22446,0
327953,6/8/2021 14:15,Regression run 9.31,Floor area 500,464269,163,22500,0,0,0,0,1420,855,1948,1640,0,19183,0,0,22446,0
327954,6/8/2021 14:15,Regression run 9.32,Floor area 6000,464270,792,109700,0,0,0,0,3576,5255,1948,6645,0,19183,0,0,22446,0
